Key,Comment,Japanese,English
Akiho Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン
Akiho.Fallen1-1,明穂,「くっ、がっちり拘束されて抜け出せない…っ」,"""Damn, I'm stuck in these tight restraints..."""
,Akiho darkness 1-1 ,,
Akiho.Fallen1-2,,明穂は財団アジトの奥深くの人体実験室に胸を露出させられた状態で拘束されていた,Akiho was bound with her breasts exposed in a human experiment room deep inside the Foundation's hideout.
,,,
Akiho.Fallen1-3,戦闘員,「ふふ、いかに聖核戦姫のお前でもこれだけ拘束されていれば逃げられないだろ？」,"""Hmmm, even you, the Seikaku Princess, can't escape when you're bound like this, can you?"""
,,,
Akiho.Fallen1-4,明穂,「…私がいなくなったことが分かれば、いつか六花か他の先輩が助けに来てくれる！」,"""...If they know I'm gone, someday Rikka or one of the other seniors will come to my rescue!"""
,,,
Akiho.Fallen1-5,戦闘員,「ああ、まあお前は水無瀬六花をおびき寄せるのに役に立ってもらう予定だからな」,"""Yeah, well, I'm going to need you to help me lure Minase Rikka away."""
,,,
Akiho.Fallen1-6,明穂,「…それが目的ならこんな胸が出るような拘束しなくてもいいじゃない！なんでわざわざ拘束するのっ？！」,"""If that's your goal, you don't have to restrain me in such a way that my breasts show! Why bother restraining them at all?"""
,,,
Akiho.Fallen1-7,戦闘員,「ああ、お前は改造されて財団の役に立ってもらうんだよ。聖核戦姫を研究して俺達の手駒にするってわけだ」,"""Yeah, you're going to be converted and made useful to the Foundation. We're going to study the Seikaku Princess and use her as a tool to help us."""
,,,
Akiho.Fallen1-8,明穂,「っ！、どんなことしたって、私が六花とか他の皆を攻撃するなんてこと絶対ないっ！」,"""I'll never attack Rikka or anyone else, no matter what you do! No matter what I did, I would never attack Rikka or anyone else!"""
,,,
Akiho.Fallen1-9,戦闘員,「安心しろ、何もお前をバケモノに改造したリ戦闘員にするわけじゃない」,"""Don't worry, we're not going to turn you into a monster or a combatant."""
,,,
Akiho.Fallen1-10,明穂,「…？、何が目的なの…！？」,"""What do you want...? What do you want...?"""
,,,
Akiho.Fallen1-11,戦闘員,「お前を洗脳して戦わせたところで大した戦力にはならねえからな」,"""Brainwashing you into fighting won't make you much of a force."""
,,,
Akiho.Fallen1-12,戦闘員,「お前には聖核のエネルギーを有効利用するための実験台になってもらう」,"""You will be my test subject for the effective use of the energy of the Seikaku."""
,Akiho darkness1-2,,
Akiho.Fallen1-13,明穂,「！っ、むぐっ！」,"""! Mugg!"""
,,,
Akiho.Fallen1-14,,明穂の口にガスマスクのようなものが付けられ、胸にも装置が付けられる,A gas mask―like device is attached to Akiho's mouth and a device is also attached to his chest.
,,,
Akiho.Fallen1-15,戦闘員,「これはお前の体に宿る聖核エネルギーをいじくるための装置だ。これでお前の聖核を俺達の役に立つように書き換えるってわけだ」,"""This is a device to tamper with the Seikaku energy in your body. It rewrites your Seikaku to make it more useful to us."""
,,,
Akiho.Fallen1-16,明穂,「フシューッ！、フシューッ！！もごっ？！」,"""Fshooooo! Fshooooo! Mughto?"""
,,,
Akiho.Fallen1-17,戦闘員,「よし、じゃあ稼働するぞ。お前が初めての実験台でどうなるか分からねえからそこは覚悟してくれ」,"""He said, ""Okay, we're going to get it up and running. You're my first experiment, and I don't know what's going to happen, so be prepared for that."""
,,,
Akiho.Fallen1-18,明穂,「んぐっ、んっ、んん゛っ、ゴキュッ！」,"""Nggghhhh, nnnnggggggggggggggggggggggg!"""
,,,
Akiho.Fallen1-19,,明穂に取り付けられたマスクから口の中にピンク色の液体が注ぎ込まれる,Pink liquid pours into the mouth from the mask attached to Akiho
,1－3,,
Akiho.Fallen1-20,明穂,「んん゛っ！？、ん゛っ♥、んぅ、ん゛っ♥♥」,"""D―B―Bad! D―B―Buh―♥, D―Buh―♥, D―Buh―♥."""
,,,
Akiho.Fallen1-21,,明穂の体からピンク色の光が立ち上り、聖核戦姫に変身した姿になる,"A pink light rises from Akiho's body, transforming her into the Seikaku Princess."
,,,
Akiho.Fallen1-22,戦闘員,「おお、ちゃんと効いたな。これはお前の聖核エネルギーを強制的に引き出す成分が入っているらしい。まあどんな副作用があるかは分からんがな」,"""Oh, it worked. It seems to contain an ingredient that forces out your Seikaku energy. Well, I don't know what the side effects are."""
,,,
Akiho.Fallen1-23,明穂,「んっ、♥ゴプッ♥、ん゛、んんっ♥(頭がぼーっとするっ、けど、ちょっと甘くておいしい…？)」,"""I'm soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo sweet and tasty...?"""
,,,
Akiho.Fallen1-24,戦闘員,「じゃあいよいよ改造だな。ええとスイッチを入れて聖核エネルギー反転レーザーを照射…と。」,"""Then it's time to modify it. ""Let's turn on the switch, and the Seikaku energy reversal laser..."""
,１－４,,
Akiho.Fallen1-25,明穂,「もがっ？！んっ、♥んん゛っ！」,"""Mooooooooooooooooooooooooooooooooooooooooooooooooooo! Mnnnghhhh!"""
,,,
Akiho.Fallen1-26,,装置が怪しい赤色にひかり、明穂の乳首にピンク色の光が照射される,The device flashes a suspicious red color and a pink light illuminates Akiho's nipples.
,,,
Akiho.Fallen1-27,戦闘員,「えー、次はレーザーを体の奥まで届かせるためにエネルギーを一転に集中させる…。これを乳首の中央部に照射すればいいんだな？」,"""'Well, next we'll concentrate the energy into a single turn to allow the laser to reach deeper into the body.... So I just need to direct this to the center of the nipple?"""
,,,
Akiho.Fallen1-28,1－5,キュイイイイイン―――ジリジリジリッ,Cuiiiiiiiiin―――jiggidy―jiggidy.
,,,
Akiho.Fallen1-29,,収束したレーザーが乳首の中心に直撃し、帯電した針金を突っ込まれたかのようなチリチリとした刺激が走る,"The converging lasers hit the center of the nipple, causing a tingling sensation as if an electrified wire had been poked into the nipple."
,,,
Akiho.Fallen1-30,明穂,「ゴボッ！？、もがっ、ん゛っ♥♥、ん゛っ！？ゴボボッ！」,"""Gobbo! Gobble! Gobbo!"""
,,,
Akiho.Fallen1-31,戦闘員,「おお、ちゃんと効いてるみたいだな。」,"""Oh, it looks like it's working."""
,,,
Akiho.Fallen1-32,明穂,「ゴボッ！♥ゴボボッ！？ん゛っ、ん゛うっ！♥(おっぱいがっ熱いっ、無理っ、止めてっ！)」,"""♥Gobobo! ♥Gobobo! Gobobobo! (My tits are so hot, please stop!)"""
,,,
Akiho.Fallen1-33,,体の奥深くまでレーザーが侵入し、明穂の聖核が歪なものに書き換えられていく,The laser penetrates deep into the body and rewrites Akiho's sacred nucleus into something distorted.
,,,
Akiho.Fallen1-34,明穂,「ん゛ん゛っ♥、ゴボッ！、ん゛ん゛うっ！」,"""Dang... gobbo! ♥♥, gobbo!"""
,,,
Akiho.Fallen1-35,,刺激を逃がそうと上半身を動かすが、乳首にロックオンされたレーザーは正確に明穂の胸の中心を照射し続ける,"She moves her upper body to escape the stimulation, but the laser locked on to her nipples continues to irradiate the center of Akiho's breast precisely!"
,,,
Akiho.Fallen1-36,明穂,「フシュー、♥フシューッ♥、ん゛ん゛っ♥♥、ん゛うっ♥」,"""Fshoo, ♥fshooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!"""
,,,
Akiho.Fallen1-37,戦闘員,「後はこれを一日10時間放射し続ける…と。じゃあ明日の朝までこのまま放置すればいいのか」,"""After that, I'll just keep radiating this for 10 hours a day... Then we just leave it like this until tomorrow morning?"""
,,,
Akiho.Fallen1-38,明穂,「ゴボッ！？、ゴポッ、ん゛ん゛ん゛っ！♥！？ガポッ！？(無理無理無理っ！そんなにされたら死んじゃうっ！)」,"""Gobbo!  ♥! Gobop! (Impossible, impossible, unreasonable! I'll die if you do that to me!"""
,,,
Akiho.Fallen1-39,戦闘員,「じゃあ明穂ちゃん明日の朝まで頑張ってくれ。俺は寝るから10時間後に迎えに来てやる。」,"""Then, Akiho-chan, you will do your best until tomorrow morning. I'm going to bed and I'll pick you up in 10 hours."""
,,,
Akiho.Fallen1-40,明穂,「ガボッ！、ゴボッっ(まってっ！とめてっ！10時間もこんなの無理っ！)」,"""Gobo! Gobble! Stop!"""
,,,
Akiho.Fallen1-41,戦闘員,「ははっ、何言ってるかわかんねえな。大丈夫、死にやしねえさ。じゃあ明日の朝な」,"""I don't know what you're talking about. Don't worry, you're not going to die. I'll see you in the morning."""
,,,
Akiho.Fallen1-42,明穂,「…！ガボッ！、ガボッ！ん゛ん゛っ！、ん゛っ！(やだやだやだっ！行かないでっ！)」,"""...! Gabo! Gabbo! ""D―D―D―D―D... D―D―D―D..! (Oh, no, no, no! Don't go!"""
,,,
Akiho.Fallen1-43,,そして実験室の扉は閉められ、明穂は暗闇の中一人で乳首を改造され続けるのだった,"The door to the laboratory was then closed, and Akiho was left alone in the darkness to continue having her nipples remodeled."
,,,
Akiho.Fallen1-44,,次の日の朝,The next morning
,1ｰ6,,
Akiho.Fallen1-45,明穂,「…フシュ―――……フシュ―――」,"""...fsh―――......fsh―――"""
,,,
Akiho.Fallen1-46,戦闘員,「明穂ちゃんおはよう！おお、すげえ一晩で胸がめちゃくちゃでかくなってるな！」,"""Good morning, Akiho-chan! Oh wow, your breasts have gotten insanely big overnight!"""
,,,
Akiho.Fallen1-47,1－7,そう言うと研究員の男はレーザーを止め、マスクと胸の装置を取り外す,The researcher man then stops the laser and removes the mask and chest device.
,,,
Akiho.Fallen1-48,明穂,「カポッ…………、うぁ……お、…わった…？」,"""Kapok............, ugh...... oh,...wtf...?"""
,,,
Akiho.Fallen1-49,,そしてマスクで見えなかった下方向が目に入る,"And you get to see downward, which you couldn't see with the mask."
,,,
