DLC Story,Comment,Japanese
DLC　プロローグ,注釈,
,黒背景,
,暗転,
,,
,,フォーレン財団聖核戦姫研究施設にて―――
,Hisui story DLC 1,
,,水槽の中に、一人の少女が機械に繋がれていた。
,,
,???,（…………）
,,
,???,（…………………）
,,
,クローン戦闘員,「本日の経過。洗脳深度36％…あまり進行していませんね。」
,,
,???,（……………………………………）
,,
,クローン戦闘員,「解析では大して強い聖核エネルギーを持った個体ではなかったのですが…」
,,
,???,（………………………………………………………）
,,
,クローン戦闘員,「洗脳に対する耐性があるのかも…？また技術幹部のケイさんに報告する必要がありそうですね。」
,,
,???,（……………っ……）
,,
,クローン戦闘員,「引き続き経過観察……なにもなければ聖核排泄の後、苗床工場へ輸送しましょう。」
,,
,???,（……………）
,,
,???,（……………誰か……助け……………）
,,
,,（……………）
,暗転,
,,
,ワールドマップ,聖核戦姫とフォーレン財団の戦いからしばらくの時が経ち―――
,,
,,聖核戦姫の総本山、聖月生徒会は陥落し、ほぼ全ての聖核戦姫は財団へ捕らえられた。
,,
,,財団は世界を征服するべく、聖核戦姫を改造・利用し、着々と戦力を拡大していた
,,
,アジト,
,,
,SEL,「……では生産幹部アキホ、財務幹部エレナ、軍事幹部ナユタ、技術幹部ケイ、それぞれ報告を。」
,,
,明穂闇落ち,「順調だよ～！聖核戦姫の改造ミルクは沢山取れてるし、触手ちゃん達も元気に育ってるみたい！」
,,
,,
,,
,エレナ,「……組織の成長率は前期比+54％……組織は順調に成長していると言えるでしょう。」
,,
,那由多,「我々の支配領域は半年間でおよそ2倍になりました。レジスタンスに対してもこちらが優勢です。」
,,
,,「ただ………。」
,,
,,「現状のクローンと怪人の人数では支配地域を維持する事は困難になりつつあります。」
,,
,,「更に支配地域を広げるためにはより多くの戦闘員が必要となるでしょう。」
,,
,,「……そこでケイさん、頼んでおいたものは完成しているでしょうか？」
,,
,京,「もちろん。きたまえ下級戦闘員達……！」
,,
,,京がそう言うと部屋の中に何人かの仮面をつけた女が入ってくる。
,,
,女戦闘員×３,「「「キィ――――――――ッ！！！」」」
,,
,,戦闘員達は甲高い声を上げてピシっと京の前で敬礼をする。
,,
,京,「どうだい？言われた通りの出来栄えだろ？」
,,
,,「その辺の一般人を捕まえて、簡単な疑似聖核埋め込み手術と洗脳で作った戦闘員だ。」
,,
,,「戦闘力は聖核戦姫のクローンには遠く及ばないが…コストは10分の1以下だ、経済的だろ？」
,,
,,「肉壁として運用するなり、性処理させるなり、雑用として自由に使ってくれたまえ。」
,,
,明穂,「おお～一般人を誘拐して戦闘員に…、流石ケイちゃんすっごいワルって感じだね～。」
,,
,那由多,「なるほど、貴女らしい……ですが、流石要望通りの仕事をしてくれますね。」
,,
