Key,Comment,Japanese,English
Daiya Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン
,Daiya story 1-1 ,,
,,財団地下施設,
,,,
,,那由多とエレナに敗北したダイヤは四肢を転送され、機械に接続されていた。,
,,,
,,バチバチバチッ！！,
,,,
,ダイヤ,「ぐうっ…ッ！はあっ…はあっ…ぐうっ…！？」,
,,,
,,ダイヤは頭に電流を流され、全身に注射や光線を放たれながら改造される。,
,,,
,ダイヤ,(っ…頭に電流が…ッ…思考がまとまらないッ……！！),
,,,
,,(それに……下腹部が……焼けるようだっ……！),
,,,
,,(手足も…全く感覚が無い……動かせない……っ…),
,,,
,,(それでもっ、私は…彼女がやり遂げるまで…屈するわけにはいかないっ……この程度の責め苦など…私は耐えきって見せるッ！),
,,,
,那由多,「ふふっ、素敵な恰好ですねダイヤさん。指一本動かせない気分はどうですか？」,
,,,
,ダイヤ,「はあっ、はあっ、悪に下った財団の犬が…私に話しかけるなっ…ッ！」,
,,,
,,「私はっ…四肢を奪われようとッ…貴様のような卑劣な輩には屈しない！」,
,,,
,那由多,「ふふふっ、この状況で強がれるのは流石ダイヤさんですねぇ？並の聖核戦姫なら泣き喚く所ですよ？」,
,,,
,,「まあ、残念ながら貴女がこの状況を打開できる術は万に一つも無いのですが…」,
,,,
,ダイヤ,「例え私が今、何もできなくとも、それが諦める理由にはならないっ…私が貴様のように悪に堕ちることは無いっ…！」,
,,,
,,「いくら体と頭をもてあそばれようと…私は最後まで聖核戦姫だ…っ！」,
,,,
,那由多,「その高潔な精神…素晴らしいです…！しかし貴女はちょっと勘違いしていますね。」,
,,,
,,「今更あなた程度の聖核戦姫を戦力にしたところで意味が無いですから。あなたはいわば…プレゼントですね。」,
,,,
,ダイヤ,「ぐっ…ぷ、プレゼントッ…？」,
,,,
,那由多,「貴女は私のご主人様への愛玩ペットとしてプレゼントになるんですよ…♥そうすれば私もご主人様に褒めてもらえます…♥」,
,,,
,ダイヤ,「なっ…き、貴様何を言っている…！？」,
,,,
,那由多,「ですから…貴女は高潔な精神のまま体をご主人様専用のオナホに改造されるんです♥」,
,,,
,,「普通の聖核戦姫ではオナホになる前に壊れてしまうので…現状私しかあの方の相手が出来ないのです。」,
,,,
,,「でもそれではご主人様が可哀そうですから…無駄に硬いあなたならご主人様のおちんぽにも耐えられるかもしれません。」,
,,,
,ダイヤ,「ふざっ…けるなぁ！！怪人なんぞの慰み者になってたまるかっ！！？」,
,,,
,那由多,「ご主人様に向かって“怪人なんぞ”…とは。改造中でなければ首を撥ねる所でしたよ？」,
,Daiya story DLC 1-3,,
,ダイヤ,「…ッ！そうなるくらいなら舌を噛み切って――――ングッ？！」,
,,,
,,口にチューブが突っ込まれ、ダイヤはついに喋る自由すら失ってしまう。,
,,,
,那由多,「死んでもらっては困りますので……改造を進めていきましょうか。」,
,,,
,,「次は体内洗浄ですね…汚いままご主人様にお出しするわけにはいかないので」,
,,,
,ダイヤ,「むぐっ！？んんっ？？？」,
,,,
,,ダイヤは口から無理やり液体を流し込まれ、消化器官が満たされていく.,
,,,
,那由多,「流石のあなたでも体内は鍛えられないですからね……おっともうお尻から出てきました！」,
,,,
,ダイヤ,「むぐっ！？ん゛ん゛～～～～♥！？！？」,
,,,
,,(な、なんだっ……この甘い液体はっ…無理やり喉の奥に入っていく……っ！？),
,,,
,,(ん゛ん～～～～～！？腸を通って……腹の中に……無理やりっ……！？),
,,,
,那由多,「ふふふっ、媚薬入りの体内改造薬ですよ。貴女を体の中から淫乱に作り変えちゃうらしいですね？」,
,,,
,ダイヤ,「む゛ふッッ！？ん゛ん゛んんッッ～～～～ッ♥」,
,,,
,,(喉がッ、お腹がッ…焼けるッ……！！お尻の穴もッ……くそおおっ！！),
,,,
,那由多,「あらあら…辛いですね…？でも頑張ってくださいね。ご主人様のオナホになるために必要なことですから♥」,
,,,
,,「ああ、そうでした……並行しておまんこもしっかりオナホ穴に改造しないといけませんね。」,
,,,
,,そして那由多はダイヤの下腹部を覆っている機械の出力を上げる。,
,,,
,,キュイイイイイイイイインンッッッ！！！,
,,,
,ダイヤ,「む゛ふ゛ッ！？！？ん゛ん゛ん゛ん゛ん゛ん゛！！」,
,,,
,,ダイヤの下腹部から子宮にかけて焼けるような快楽が走り、ダイヤは声にならない叫び声をあげる。,
,,,
,,(！！！な…んだっ……これはあっ♥……股が……熱いっ……やめろっ……♥！？),
,,,
,那由多,「これは特性のおまんこ改造装置です。いくら貴女でもご主人様のおチンポをそのまま入れたらすぐにガバガバになってしまいそうですから。」,
,,,
,,「でも…この装置なら処女のままおまんこを鍛えられるんです！せっかくのプレゼントを機械で傷物にするわけにはいきませんからね。」,
,,,
,ダイヤ,「ん゛ん゛ん゛ん゛ん゛ん゛ッッッ！！！！」,
,,,
,,(ん゛あっ♥……おまんこがっ！……熱いッ…ううっ♥！！),
,,,
,,(くそおおおっ！ん゛ああっ♥…こんなことがっ！！！んあっ♥！？),
,,,
,那由多,「あ、一応ですが、やめて欲しくても改造が終わるまでそのままですよ。まあまさかダイヤさんが敵に許しを請いませんよね？」,
,,,
,ダイヤ,「ん゛ん゛ん゛っ！！！ああいあえあっ！！」,
,,,
,那由多,「ふふっ…では私はこれで失礼します。いいオナホになれるように頑張りましょうね♥」,
,,,
,ダイヤ,「ん゛ん゛ん゛ん゛ん゛ん゛っ♥♥！！！」,
,,,
