Key,Comment,Japanese,English
Chapter 1-1,注釈,,
,開幕戦闘開始,,
,,,
,戦闘勝利後,,
,,,
Dialog.Chapter1-1-1,ホーム画面,アジト内部,Inside the foundation's hideout
,,,
Dialog.Chapter1-1-2,,組織の職員たちは笹谷明穂、水無瀬六花の諜報活動に奔走していた,The organization's employees were busy working on espionage activities for Sasaya Akiho and Minase Rikka.
,,,
Dialog.Chapter1-1-3,005号,「―――――これが笹谷明穂、水無瀬六花の一週間の行動パターンです」,"""――――― This is the weekly activity pattern of Sasaya Akiho and Minase Rikka."""
,,,
Choice.Chapter1-1-3(1),SEL,「…ご苦労」,"""....Thanks."""
,,,
Dialog.Chapter1-1-4,005号,「作戦実行に必要な戦力と、諸々の機関への工作活動の手筈も整っています。後は時期を見計らって作戦を実行に移すだけです」,"""We have the necessary forces to carry out the operation and arrangements have been made for maneuvering with various agencies. All we have to do now is to find the right time and put the operation into action."""
,,,
,,,
,,,
,,「これより、作戦を開始する！」,"""We will now begin the operation!"""
,,,
,,,
,,,
,飲食店の店内　夕方,,
,,,
Dialog.Chapter1-1-5,,街中のとあるカフェにて,At a certain cafe in town
,,,
Dialog.Chapter1-1-6,明穂,「おいしかった～！よし、今日の予定しゅうりょ～う！」,"""It was delicious! Okay, let's get on with today's schedule!"""
,,,
Dialog.Chapter1-1-7,六花,「これで5件目…明穂甘いもの食べ過ぎじゃない？」,"""This is the fifth case...aren't you eating too many sweet things, Akiho?"""
,,,
Dialog.Chapter1-1-8,明穂,「そんなことないって！パトロールも体力付けるのも聖核戦姫の大事な仕事だよ！」,"""I don't think so! Patrolling and physical fitness are important jobs for the Seikaku Princess!"""
,,,
Dialog.Chapter1-1-9,六花,「…まあ、もらった活動費で放課後にスイーツ食べ歩いてただけなんだけど…」,"""Hmm... what we we did were just eating sweets after school..."""
,,,
Dialog.Chapter1-1-10,明穂,「細かいことはいいの！カフェ巡りもできて街の平和も守れる最高の仕事だよ☆」,"""Ignore the details! It's a great job where I can visit cafes and keep the peace in the city~"""
,,,
Dialog.Chapter1-1-11,明穂,「それに最近はあいつらも全然出てこないし、昔より弱っちくなってるし、ちょっと退屈してきちゃったぐらい」,"""It doesn't help that they haven't come out at all lately, they're weaker than they used to be, and I'm getting a little bored with them."""
,,,
Dialog.Chapter1-1-12,六花,「…私たちが暇なのは良いこと。それにいくら最近おとなしいからって油断し過ぎは良くない。」,"""It's a good thing we're not busy. Besides, we shouldn't let our guard down too much, no matter how quiet we've been lately."""
,,,
Dialog.Chapter1-1-13,明穂,「でもあの程度の強さであいつらに出来ることなんてもうなくない？私達より強い人も沢山いるのに…」,"""But there's nothing more they can do with our kind of strength, is it? There are many people stronger than us..."""
,,今日は楽勝だったけど…,"It was an easy win today, but..."
Dialog.Chapter1-1-14,六花,「昔に比べればあの組織がかなり弱体化しているのは事実。だけど完全に組織が瓦解してないうちは安心できない」,"""It is true that that organization is much weaker than it used to be. But I don't feel safe until the organization has been completely dismantled."""
,,,
Dialog.Chapter1-1-15,明穂,「六花は心配し過ぎだって！正直私一人でも全然負ける気がしないんだけど…」,"""Rikka you're worrying too much! To be honest, I don't think I can be beaten even by myself..."""
,,,
Dialog.Chapter1-1-16,六花,「明穂はまだ戦い始めてから日が浅いし…あいつらは狡猾な手も使ってくる。一人で戦うのはまだ…」,"""Akiho has only been fighting for a short time...and they can be very cunning. you're not ready to fight alone yet..."""
,,,
Dialog.Chapter1-1-17,明穂,「むー、そんなに私が信用できないの？私だって結構強くなった自信あるんだけど。」,"""'Hmmm, you don't trust me that much? I'm pretty sure I'm getting stronger too."""
,,,
Dialog.Chapter1-1-18,六花,「…………。そうだね。明穂ならもう大丈夫だと思う。ただ油断はしないで。危なくなったらすぐ呼んで。」,"""............. Yes, that's right. I think Akiho will be fine now. Just be on your guard. Call me as soon as you are in danger."""
,,,
Dialog.Chapter1-1-19,明穂,「オッケー！六花のことは頼りにしてるから！」,"""Okay! I'm counting on you too Rikka!"""
,,,
Dialog.Chapter1-1-20,六花,「…うん。じゃあ私は帰るから。また明日」,"""Alright, I'm going home. See you tomorrow."""
,,,
Dialog.Chapter1-1-21,明穂,「またね！」,"""See you!"""
,,,
,帰りの電車の中,,
,電車の車内　夜,,
Dialog.Chapter1-1-22,明穂,「ふぅ、今日も遅くなっちゃった…」,"""Phew, it's getting late again today..."""
,,,
Dialog.Chapter1-1-23,,明穂は自宅に帰るためいつもの電車に乗っていた。,Akiho was taking her usual train to go home.
,,,
Dialog.Chapter1-1-24,明穂,(…この時間にしては人が多いような？),(...seems like a lot of people for this time of day?)
,,,
Dialog.Chapter1-1-25,,普段は空いていて座れていた電車が、今日は壁に体をあずけて立たなければいけないほど人で溢れて混雑している。,"The train, which was usually empty with seats, is crowded today with so many people that you have to stand with your body against the wall."
,,,
Dialog.Chapter1-1-26,明穂,(うぅ～最悪…。こんなに混んでるなら、あんなに遊ばないで早く帰ればよかったかも),"(Ugh~ that sucks.... If it was this crowded, maybe I should have gone home earlier instead of hanging out too much)"
,,,
Dialog.Chapter1-1-27,,電車に揺られる明穂は自分の胸に違和感を感じた。,"Swaying on the train, Akiho felt a sense of discomfort in her own chest."
,,,
Dialog.Chapter1-1-28,明穂,(…？ちょっと何か当たってるような),(...? I think I hit on something a little bit)
,,,
Dialog.Chapter1-1-29,,後ろにいたスーツを着たサラリーマンのような男の右手が、後ろから明穂の胸をすりすりと撫でている,"The right hand of the man behind him, who looks like a businessman in a suit, is rubbing and stroking Akiho's breast from behind."
,,,
Dialog.Chapter1-1-30,明穂,(っ！、気のせいじゃない…),(Huh..! So it's not just my imagination...)
,,,
Dialog.Chapter1-1-31,,明穂は顔を真っ赤にして声を振り絞る,Akiho's face turns red and her voice is strained
,,,
Dialog.Chapter1-1-32,明穂,「…っ、やめてくださいっ」,"""Hey, stop.. stop that!"""
,,,
Dialog.Chapter1-1-33,男,「……………」,"""..............."""
,Akiho 1-1,,
Dialog.Chapter1-1-34,,男は明穂の声を気にかけず、右手が明穂の胸を鷲掴みにした,"The man did not care about what Akiho said, his right hand grabbed Akiho's breast."
,,,
Dialog.Chapter1-1-35,明穂,「ひぁっ！―――っ！」,"""Hee―!"""
,,,
Dialog.Chapter1-1-36,,男は明穂の胸をつかむだけでなく更にやわやわと揉み始める,The man not only grabs Akiho's breasts but also starts rubbing them slowly.
,,,
Dialog.Chapter1-1-37,明穂,(うぅ、最悪っ、どうにかしないと―――),"(Ugh, that sucks, I have to do something...)"
,,,
Dialog.Chapter1-1-38,明穂,「…っ、誰かっ！助けてっ！この人痴漢です！」,"""A... anyone? Help! This man is a pervert!"""
,,,
Dialog.Chapter1-1-39,,しかし、混雑した車内の誰一人として明穂の声に反応することは無かった。,"However, no one in the crowded car responded to Akiho's voice."
,,,
Dialog.Chapter1-1-40,明穂,(――どうして誰も何もしてくれないのっ！？),(――Why doesn't anyone do anything!)
,,,
Dialog.Chapter1-1-41,,その間に男の手の動きはどんどん大胆になり、制服越しに激しく明穂の乳房を弄ぶ。,"Meanwhile, the man's hand movements become bolder and bolder, violently playing with Akiho's breasts through her uniform."
,Akiho 1-2,,
Dialog.Chapter1-1-42,明穂,「ひゃうっ、んっ♥、やめてくださいっ、やめて！」,"""Hyaa, hmmm ♥, please don't, don't!"""
,,,
Dialog.Chapter1-1-43,,男の指の先がぐにぐにと執拗に乳首を弄りまわし、胸の先端から背筋に向かってぞくぞくとした感覚が走る。,"The tips of the man's fingers play with the nipples, squirming and relentlessly, and a creeping sensation runs from the tips of my breasts down her spine."
,,,
Dialog.Chapter1-1-44,明穂,「ふぁっ♥、やぁ、んっ♥」,"""Hhhhhh♥, oh no, hmmm♥"""
,,,
Dialog.Chapter1-1-45,,他人に触られたことのない明穂は、乳首への未知の刺激に無理やりされているにもかかわらず甘い声を漏らす,"Akiho, who has never been touched by another person like that, lets out a sweet voice despite being forced by the unknown stimulation to her nipples."
,,,
Dialog.Chapter1-1-46,Akiho 1-1,(―――っ、変身すればこんなやつ簡単に組み伏せられるけど…、流石に一般人相手に変身するわけにもいかないし、どうすればいいのっ？),"(―――I can easily handle this guy if I transform... but I can't transform into a civilian, what should I do?)"
,,,
Dialog.Chapter1-1-47,,明穂が状況を打開する方法を考えていると、今度は男の左手がスカートをかき分け明穂の尻を揉み始める。,"While Akiho was thinking of a way out of the situation, the man's left hand now brushes aside her skirt and begins to squeeze her buttocks."
,,,
Dialog.Chapter1-1-48,明穂,「ひっ、いやぁっ！」,"""No, no!"""
,,,
Dialog.Chapter1-1-49,,男の手は明穂の尻や、太ももの間、ショーツの隙間に手を入れたりと、下半身を執拗に攻め立てる。,"The man's hands relentlessly attack the lower half of Akiho's body, including her buttocks, between her thighs, and in the gap between her shorts."
,Akiho 1-3,,
Dialog.Chapter1-1-50,明穂,「やぁっ、やめっ♥、っ♥！」,"""Oh, no, don't do that!"""
,,,
Dialog.Chapter1-1-51,,胸と下半身を触られつづけて明穂の息遣いは荒くなり、顔も紅潮していた,Akiho's breathing became ragged and her face flushed as she continued to be touched on her breasts and lower half of her body.
,,,
Dialog.Chapter1-1-52,明穂,「やぁ♥、うんっ♥、んっ♥、はぁっ♥」,"""Oh... no! haa..."""
,,,
Dialog.Chapter1-1-53,,そして遂に男の手が明穂の秘所をショーツの上から撫で始める,"Finally, the man's hand begins to stroke Akiho's secret place over her shorts."
,,,
Dialog.Chapter1-1-54,明穂,「……っ、ダメっ♥、そこはっ♥」,"""......, no ♥, not there ♥"""
,,,
Dialog.Chapter1-1-55,Akiho 1-1,(うぅっ♥、これ以上はほんとにダメっ、もう変身を―――),"(Ugh ♥, I really can't go any further, I should transform...)"
,電車内　背景,,
Dialog.Chapter1-1-56,,キキィィーーーーーッ！,Kiki―eeeeeeeeeee!
,,,
Dialog.Chapter1-1-57,,電車が駅に着きドアが開いた。,The train arrived at the station and the doors opened.
,,,
Dialog.Chapter1-1-58,明穂,(……！),(......!)
,,,
Dialog.Chapter1-1-59,明穂,「っ！降りてください！」,"""! Please get off!"""
,,,
Dialog.Chapter1-1-60,,明穂は男の腕をつかみ電車を降りるのだった,Akiho grabbed the man's arm and got off the train.
,,,
Dialog.Chapter1-1-61,駅構内,―――駅の構内にて,――― In the station
,,,
Dialog.Chapter1-1-62,,「………どうかされましたか？」,"""......... what can I do for you?"""
,,,
Dialog.Chapter1-1-63,,「こっ、この人が私の体を触ってきて！駅員さん何とかしてください！」,"""This man was touching me! Station staff, please do something!"""
,,,
Dialog.Chapter1-1-64,,「………そうですか。では駅員室でお話を伺いますのでお二人とも私に付いてきてください。」,"""......... I see. Well, I'm going to go to the station clerk's office to talk to him, you two please follow me."""
,,,
Dialog.Chapter1-1-65,,「……………」,"""..............."""
,,,
Dialog.Chapter1-1-66,,男は何も言わず静かに駅員に従って付いていく,The man says nothing and quietly follows the station staff.
,,,
Dialog.Chapter1-1-67,,(う～～、最悪…。帰る時間かなり遅れちゃう…),"(Uh~~, that sucks.... I'm going to be very late getting home...)"
,,,
Dialog.Chapter1-1-68,,(でも後は駅員さんが何とかしてくれるはずだし、今日は遅くなるって連絡しておかないと…),"(But I'm sure the station staff will take care of the rest, perhaps I should message Rikka to let her know I'll be late today...)"
,,,
Dialog.Chapter1-1-69,,明穂は体に残る不愉快な感覚の残滓を感じつつ、駅員についていくのだった,"Akiho followed the station staff, feeling the residue of unpleasant sensations in her body."
,,,
Chapter 1-2,注釈,,
Dialog.Chapter1-2-1,駅構内,明穂は駅員に連れられて駅の構内を歩いていた。,Akiho was walking through the station premises accompanied by a station attendant.
,,,
Dialog.Chapter1-2-2,明穂,「……あの、こんなに歩く必要があるんですか？」,"""...... Um, do we really need to walk this far?"""
,,,
Dialog.Chapter1-2-3,駅員,「…………危険人物には厳重に対応する必要がありますから。」,"""............ Because we deal with this kind of dangerous people very seriously."""
,,,
Dialog.Chapter1-2-4,,駅員はそう呟くと黙々と歩を進める。,The station staff muttered to himself and walked silently.
,,,
Dialog.Chapter1-2-5,,「………着きました。お入りください。」,""" .......... You have arrived. Please come in."""
,,,
Dialog.Chapter1-2-6,廃墟の背景,駅員の男が重厚な扉を開き、明穂と男は薄暗く広い部屋に案内された。,"The station staff opened the heavy door and Akiho and the man were ushered into a large, dimly lit room."
,,,
Dialog.Chapter1-2-7,明穂,「……ここは？不審者の取り調べにこんな部屋使う必要があるんですか…？」,"""...... what is this place? Do we really need to use a room like this...?"""
,,,
Dialog.Chapter1-2-8,駅員,「………ええ、危険人物には厳重に対処する必要がありますから。」,""".........Yes, because we need to deal with dangerous people in a very strict way."""
,,,
Dialog.Chapter1-2-9,,―――駅員の声が一段低くなる。,―――The station staffvoice lowers a notch.
,,,
Dialog.Chapter1-2-10,,そして、入って来た扉がギギィと閉じられた瞬間、部屋の中の物陰から何人ものマスクをかぶった大柄な男たちが現れた。,"Then, just as the door they had entered creaked shut, a number of large, masked men appeared from the shadows inside the room."
,,,
Dialog.Chapter1-2-11,明穂,「なっ…！あなた達はっ！」,"""What...! You guys are... !"""
,,,
Dialog.Chapter1-2-12,,駅員だと思っていた男はマスクをかぶり、戦闘員の姿に変身する,The man who was suppose to be a station staff puts on a mask and transforms into a combatant.
,,,
Dialog.Chapter1-2-13,戦闘員,「ああ、俺も電車に乗っていたのも全員財団の関係者だ。お前が一人になる時間を狙ってここに連れ込んだわけだ。お前が鈍感で助かったぜ」,"""Yeah, I and everyone else on the train were all affiliated with the foundation. I brought you here when you were alone. Thank goodness you're that stupid."""
,,,
