 ,Comment,Japanese,Japanese,English
Chapter 2-1,注釈,,,
Dialog.Chapter2-1-1,マンション(夕方),明穂が学校に来なくなってから一週間,明穂が司令部に来なくなってから一週間,It's been a week since Akiho stopped coming to school.
,,,,
Dialog.Chapter2-1-2,六花,「……家にもいない…か。」,「……家にもいない…か。」,"""...... not even in home."""
,,,,
Dialog.Chapter2-1-3,,六花は一週間前から学校に来ていない明穂の身を案じ、放課後に彼女が一人で住んでいるアパートに訪れていた。,六花は一週間前から学校に来ていない明穂の身を案じ、彼女が一人で住んでいるアパートに訪れていた。,Rikka was concerned about Akiho's condition since she had not come to school for a week and visited her after school at her apartment where she lived alone.
,,,,
Dialog.Chapter2-1-4,,(スマホでチャットはできるけど電話に出れないのはおかしいし…。一週間も学校を休んでる理由も教えてくれない),(スマホでチャットはできるけど電話に出れないのはおかしいし…。一週間も任務を休んでる理由も教えてくれない),(She didn't even respond to my message.... And didn't even tell me why they've been out of school for a week.)
,,,,
Dialog.Chapter2-1-5,,(……考えたくないけど―――やっぱり明穂に何かあったとしか…),(……考えたくないけど―――やっぱり明穂に何かあったとしか…),"(...... I don't want to think about it, but ――― I knew there was something wrong with Akiho...)"
,,,,
Dialog.Chapter2-1-6,,「……うん。やっぱり副会長に相談するしかない。」,「……うん。やっぱり副会長に相談するしかない。」,"""...... yeah. I should talk to the VP about this."""
,,,,
Dialog.Chapter2-1-7,,「うっ…でもあの人ちょっと怖いんだよね…。いや、そんなこと言ってる場合じゃないか…」,「うっ…でもあの人ちょっと怖いんだよね…。いや、そんなこと言ってる場合じゃないか…」,"""Ugh...but she scares me a little... No, this is not the time to say that..."""
,,,,
Dialog.Chapter2-1-8,,六花は意を決して学園へ向かうのだった。,六花は意を決して司令部へ向かうのだった。,Rikka went to the school with all her heart.
,,,,
Dialog.Chapter2-1-9,生徒会室,聖月女学園生徒会室にて,対怪人特殊防衛組織　“ホーリーコア・レギオン”司令部にて,In the Student Council Room at Seigetsu Girl Academy
,,,,
Dialog.Chapter2-1-10,エレナ,「――――――それで、1種間前から明穂さんの様子がおかしく、家にもいなかったと。話はそれで終わりですか？」,「――――――それで、1種間前から明穂さんの様子がおかしく、家にもいなかったと。話はそれで終わりですか？」,"""―――――― So, you said that Akiho had been acting strangely for a seedy period of time and was not at home. Is that the end of your story?"""
,,,,
Dialog.Chapter2-1-11,六花,「はい、エレナ先輩…。それで、どうにか生徒会の方で捜索隊を…！」,「はい、エレナ先輩…。それで、どうにか司令部の方で捜索隊を…！」,"""Yes, Erena-senpai... Please make student council to get a search party...!"""
,,,,
Dialog.Chapter2-1-12,エレナ,「…そうですか。」,「…そうですか。」,"""I see."""
,,,,
Dialog.Chapter2-1-13,,「…残念ですが、今はその件は対応できません。」,「…残念ですが、今はその件は対応できません。」,"""...I'm sorry, but I can't deal with that right now."""
,,,,
Dialog.Chapter2-1-14,六花,「っ、どうして！」,「っ、どうして！」,"""Why?"""
,,,,
Dialog.Chapter2-1-15,エレナ,「………時間が無いので簡潔に説明します。」,「………時間が無いので簡潔に説明します。」,"""I'll try to keep this brief since I don't have much time for stuff like this."""
,,,,
Dialog.Chapter2-1-16,,「私達聖月生徒会は財団以外にもやるべき仕事が多いのです…。私達は強大な力を持っているが故、ただ悪者を倒してヒーローごっこをしていればいいわけではありません。」,「私達司令部は財団以外にもやるべき仕事が多いのです…。私達は強大な力を持っているが故、ただ悪者を倒してヒーローごっこをしていればいいわけではありません。」,"""We, the Seigetsu Student Council, have a lot of work to do besides the Foundation.... We are a powerful force, and it is not enough just to defeat the bad guys and play hero."""
,,,,
Dialog.Chapter2-1-17,,「それに、ここ聖月女学園は各地の聖核戦姫のグループの総本山であり、政治や経済、更に海外へも大きな影響力があります。」,「ホーリーコア・レギオンはもはやただの聖核戦姫の集まりではありません、政治や経済、更に海外へも大きな影響力があります。」,"""Moreover, this Academy is the headquarters of a group of Seikaku Princess from all over the world, and has great influence in politics, economics, and even abroad."""
,,,,
Dialog.Chapter2-1-18,,「そして、もはやあの組織は壊滅寸前。生徒会長不在の今、その程度の事で昔のように財団ごときにかまっている時間は私達にはありません。」,「そして、もはやあの組織は壊滅寸前。会長不在の今、その程度の事で昔のように財団ごときにかまっている時間は私達にはありません。」,"""And now that Forren Foundation is on the verge of destruction. Without the student council president, we don't have the time to be bothered with them like we used to be."""
,,,,
Dialog.Chapter2-1-19,六花,「っ、…その程度って！」,「っ、…その程度って！」,"""... what did you said?"""
,,,,
Dialog.Chapter2-1-20,エレナ,「…あらかた活動が辛くなってどこかで遊びまわっているのでは？いくら仲が良いとは言え心配のし過ぎではないでしょうか。」,「…あらかた活動が辛くなってどこかで遊びまわっているのでは？いくら仲が良いとは言え心配のし過ぎではないでしょうか。」,"""...I suspect that all the activities have become too painful for her and she's are playing around somewhere. I think you are worrying too much, despite how close you two were."""
,,,,
Dialog.Chapter2-1-21,六花,「でもっ！明穂は―――」,「でもっ！明穂は―――」,"""But..! No way Akiho is..."""
,,,,
Dialog.Chapter2-1-22,エレナ,「……そうですね、しばらく六花さんは公休という事にしましょう。業務の手続きはこちらでしておくので、明穂さんの件は全て貴女に任せます。」,「……そうですね、しばらく六花さんは公休という事にしましょう。業務の手続きはこちらでしておくので、明穂さんの件は全て貴女に任せます。」,"""I will leave everything to you. I'll take care of the business procedures here, so you can take care of everything regarding Akiho-san."""
,,,,
Dialog.Chapter2-1-23,,「―――心配しないでください。事態が大きくなるようでしたら生徒会で対処します。そうならないように貴女には期待をしていますよ？」,「―――心配しないでください。事態が大きくなるようでしたら司令部で対処します。そうならないように貴女には期待をしていますよ？」,"""Don't worry. If the situation becomes more serious, the student council will take care of it. We're counting on you to make sure that doesn't happen."""
,,,,
Dialog.Chapter2-1-24,六花,「…っ――――わかりました。忙しい中すみません…―――失礼します。」,「…っ――――わかりました。忙しい中すみません…―――失礼します。」,"""...I...I―――― I understand. I'm sorry to bother you...―――Excuse me."""
,,,,
Dialog.Chapter2-1-25,,そういうと、六花は心ならずな表情で高貴な香りのする生徒会室を後にするのだった。,そういうと、六花は心ならずな表情で高貴な香りのする司令部を後にするのだった。,"With that, Rikka left the noble-smelling student council room with an absent-minded expression on her face."
,,,,
Dialog.Chapter2-1-26,,夜の街にて,夜の街にて,In the city at night
,,,,
Dialog.Chapter2-1-27,六花,「―――生徒会は頼りにならないか…」,「―――司令部は頼りにならないか…」,"""―――― the student council is unreliable..."""
,,,,
Dialog.Chapter2-1-28,,「……明穂を探すにしても手がかりはないし、どうすれば…」,「……明穂を探すにしても手がかりはないし、どうすれば…」,"""......I don't have a clue as to how to find Akiho, so what can I do..."""
,,,,
Dialog.Chapter2-1-29,,その時、六花のスマホからピコンと電子音が響く,その時、六花のスマホからピコンと電子音が響く,"At that moment, a beeping electronic sound echoes from Rikka's phone."
,,,,
Dialog.Chapter2-1-30,六花,「―――！」,「―――！」,"""...!"""
,,,,
Dialog.Chapter2-1-31,,直ぐにスマホを取り出し通知を確認する,直ぐにスマホを取り出し通知を確認する,Rikka immediately take out her phone and check your notifications.
,,,,
Dialog.Chapter2-1-32,,メッセージ：笹谷明穂は確保した。明日14時、〇〇ビルの〇〇号室に来い。他言すれば彼女の命は保障しない,メッセージ：笹谷明穂は確保した。明日14時、〇〇ビルの〇〇号室に来い。他言すれば彼女の命は保障しない,"Message: Sasaya Akiho is captured. Come to room ** of the ** building at 14:00 tomorrow. If you talk to anyone else, her life is not guaranteed."
,,,,
Dialog.Chapter2-1-33,,明穂とのチャットにはこれまでの会話履歴と比べて明らかに異質な、恐ろしい現実を告げる脅迫文が届いていた,明穂とのチャットにはこれまでの会話履歴と比べて明らかに異質な、恐ろしい現実を告げる脅迫文が届いていた,The chat with Akiho had received a threatening message that was clearly different and more frighteningly realistic than the previous conversation history.
,,,,
Dialog.Chapter2-1-34,六花,「―――明穂っ！」,「―――明穂っ！」,"""Akiho!"""
,,,,
Dialog.Chapter2-1-35,,都市の空はすっかり日が落ち暗くなり、夜の冷たい風が六花の肌を這った,都市の空はすっかり日が落ち暗くなり、夜の冷たい風が六花の肌を這った,"The city sky was darkening with the setting sun, and the cold night wind crawled across Rikka's skin."
,,,,
Chapter 2-2,注釈,,,
,高層ビル(日中),,,
Dialog.Chapter2-2-1,六花,「…ここがそのビル…か」,「…ここがそのビル…か」,""".. So this is the building."""
,,,,
Dialog.Chapter2-2-2,,六花は指定されたビルの前に来ていた,六花は指定されたビルの前に来ていた,Rikka came to the front of the designated building.
,,,,
Dialog.Chapter2-2-3,,(どう考えても罠だけど…明穂を人質に取られてる以上しょうがない…),(どう考えても罠だけど…明穂を人質に取られてる以上しょうがない…),(It's a trap no matter how I think about it... but it can't be helped as long as they have Akiho as a hostage...)
,,,,
Dialog.Chapter2-2-4,,すると背後から何者かに声がかけれらる,すると背後から何者かに声がかけれらる,Someone calls out to her from behind.
,,,,
Dialog.Chapter2-2-5,???,「お待ちしていました、水無瀬六花。」,「お待ちしていました、水無瀬六花。」,"""We have been waiting for you, Minase Rikka."""
,,,,
Dialog.Chapter2-2-6,六花,「……あんたは…。財団の女戦闘員か」,「……あんたは…。財団の女戦闘員か」,"""...... you are.... Are you a female combatant for the Foundation?"""
,,,,
Dialog.Chapter2-2-7,???,「はい、戦闘員005号です。ただ今より“オリジナル”を案内します。」,「はい、戦闘員005号です。ただ今より“オリジナル”を案内します。」,"""Yes, I am Combatant No.005. Come with me, Original."""
,,,,
Dialog.Chapter2-2-8,六花,「―――ちょっと待って、オリジナル…？それってどういう意味…？」,「―――ちょっと待って、オリジナル…？それってどういう意味…？」,"""―――Wait a minute, Original...? What does that even mean...?"""
,,,,
Dialog.Chapter2-2-9,005号,「おや、気づいていなかったのですね。ではお伝えします。」,「おや、気づいていなかったのですね。ではお伝えします。」,"""Ah, so you didn't notice. Alright let me tell you."""
,,,,
Dialog.Chapter2-2-10,,「財団のクローン戦闘員は全てあなた“水無瀬六花”の遺伝情報を基に作成されています」,「財団のクローン戦闘員は全てあなた“水無瀬六花”の遺伝情報を基に作成されています」,"""All of the Foundation's cloned fighters are based on the genetic information of you, Minase Rikka."""
,,,,
Dialog.Chapter2-2-11,六花,「…………そう。あなた達には妙に嫌な感じがしてたけど…そういう事だったんだ」,「…………そう。あなた達には妙に嫌な感じがしてたけど…そういう事だったんだ」,"""'............ yeah. I've had a strange, bad feeling about you guys... so that's what it was all about."""
,,,,
Dialog.Chapter2-2-12,005号,「おや、意外と驚かないのですね。」,「おや、意外と驚かないのですね。」,"""Gosh, you're not that surprised."""
,,,,
Dialog.Chapter2-2-13,六花,「別に、私は私だし。それに私のクローンにしては弱すぎてがっかり。何人いても私の敵じゃない」,「別に、私は私だし。それに私のクローンにしては弱すぎてがっかり。何人いても私の敵じゃない」,"""Nothing serious. I'm just me. And I'm disappointed that you're too weak to be my clone. No matter how many of them there are, You guys are no match for me."""
,,,,
Dialog.Chapter2-2-14,六花,「とっとと話を進めよう。あなた達の要求は何？明穂はどこにいる？」,「とっとと話を進めよう。あなた達の要求は何？明穂はどこにいる？」,"""Let's move the conversation. What do you guys want? Where is Akiho?"""
