Key,Comment,Japanese,Japanese_Steam,English
Chapter 3-1,注釈,,,
Dialog.Chapter3-1-1,アジト,フォーレン財団アジトにて,フォーレン財団アジトにて,At the Forren Foundation Hideout
,エレナの写真みたいなやつ,,,
Dialog.Chapter3-1-2,戦闘員,「―――では先日戦闘した“清藤エレナ”について現在分かっていることをお伝えします」,「―――では先日戦闘した“清藤エレナ”について現在分かっていることをお伝えします」,"""Here is what we know about Seidō Erena, who was recently in combat with us."""
,,,,
Dialog.Chapter3-1-3,SEL,よろしく頼む,よろしく頼む,Keep up the good work
,,,,
Dialog.Chapter3-1-4,,「聖月女学園生徒会副会長にして、経済界、政界にも大きな影響力を持つ巨大財閥“清藤グループ”の令嬢です」,「ホーリーコア・レギオン副会長にして、経済界、政界にも大きな影響力を持つ巨大財閥“清藤グループ”の令嬢です」,"""She is the vice president of the Seigetsu Girl Academy Student Council and the daughter of the Seidō Group, a huge conglomerate with great influence in the economic and political worlds."""
,,,,
Dialog.Chapter3-1-5,,「生徒会長は現在半年ほど海外へ行っており、今は実質的な生徒会トップで聖核戦姫のリーダー的存在です」,「会長は現在半年ほど海外へ行っており、今は実質的な司令部トップで聖核戦姫のリーダー的存在です」,"""Their president is currently overseas for six months and is now she is the de facto head of the student council and leader of the Seikaku Princess."""
,,,,
Dialog.Chapter3-1-6,,「戦闘能力も並みの聖核戦姫を遥かに凌ぎ、先日の戦闘ではものの一分でこちらの戦闘員の半数近くが戦闘不能にされました」,「戦闘能力も並みの聖核戦姫を遥かに凌ぎ、先日の戦闘ではものの一分でこちらの戦闘員の半数近くが戦闘不能にされました」,"""Her combat capability far surpasses that of ordinary Seikaku princesses, and in a recent battle, nearly half of our combatants were disarmed in a single minute."""
,,,,
Dialog.Chapter3-1-7,,「更にコンピュータによるシミュレーションでは、彼女を捕縛するには水無瀬六花の強化クローン兵が100体以上必要になるようです」,「更にコンピュータによるシミュレーションでは、彼女を捕縛するには水無瀬六花の強化クローン兵が100体以上必要になるようです」,"""Furthermore, according to computer simulations, it would take more than 100 of Minase Rikka's enhanced clone soldiers to capture her."""
,,,,
Dialog.Chapter3-1-8,,「……つまるところ、まともに戦ったらどう転んでも勝ち目はないという事です」,「……つまるところ、まともに戦ったらどう転んでも勝ち目はないという事です」,"""......The bottom line is that if we fight a real fight, we won't win."""
,,,,
Dialog.Chapter3-1-9,,「そして現在クローン005号が学園に潜入していますが、<br>更に悪いことに一週間程でこちらに対する大規模攻撃が行われるようです」,「そして現在クローン005号が学園に潜入していますが、<br>更に悪いことに一週間程でこちらに対する大規模攻撃が行われるようです」,"""And what's worse, now clone No.005 has infiltrated the academy, and it looks like there will be a major attack on us in about a week."""
,,,,
Dialog.Chapter3-1-10,SEL,………,………,.........
,,,,
Dialog.Chapter3-1-11,戦闘員,「………ドクターの手腕に期待しています。―――！、今005号から連絡が入りました！」,「………ドクターの手腕に期待しています。―――！、今005号から連絡が入りました！」,"""I'm looking forward to seeing what Doctor can do.  ―――! Wait we just got a call from No.005!"""
,,,,
Dialog.Chapter3-1-12,005号(六花制服通信),「―――お久しぶりです、ドクター。」,「―――お久しぶりです、ドクター。」,"""――― It's been a long time, Doctor."""
,,,,
Dialog.Chapter3-1-13,005号(通信),「―――水無瀬六花として聖月女学園に潜入していました。005号です。」,「―――水無瀬六花としてホーリーコア・レギオンに潜入していました。005号です。」,"""―――I infiltrated Seigetsu Girl Academy as Minase Rikka, I am No.005."""
,,,,
Dialog.Chapter3-1-14,,「…清藤エレナと生徒会の動向を探っていたのですが、エレナについて面白い情報を入手しました」,「…清藤エレナと生徒会の動向を探っていたのですが、エレナについて面白い情報を入手しました」,"""...I've been trying to find out what's going on with Erena Seidō and the student council, and I've gotten some interesting information about Erena."""
,,,,
Dialog.Chapter3-1-15,,「役に立つかはわかりませんが、この情報が清藤エレナの突破口になるかもしれません――――」,「役に立つかはわかりませんが、この情報が清藤エレナの突破口になるかもしれません――――」,"""I don't know if this will help, but this information could be a breakthrough for Seidō Erena: ――――"""
,,,,
,生徒会室,,,
Dialog.Chapter3-1-16,,翌日、聖月女学園生徒会にて―――,翌日、ホーリーコア・レギオン司令部にて―――,"The next day, at the Student Council of the Seigetsu Girl Academy ――――."
,,,,
Dialog.Chapter3-1-17,エレナ(制服),「―――そして複数班に分かれ、財団地下アジトがあると思われる場所を全戦力で同時に攻略します」,「―――そして複数班に分かれ、財団地下アジトがあると思われる場所を全戦力で同時に攻略します」,"""――― split up into multiple teams to simultaneously attack the location where the Foundation's underground hideout is believed to be, with all forces at their disposal."""
,,,,
Dialog.Chapter3-1-18,エレナ,「作戦決行は一週間後の午前9時からです。皆さんそれまでに十分な準備をお願いします。」,「作戦決行は一週間後の午前9時からです。皆さんそれまでに十分な準備をお願いします。」,"""The operation will begin at 9:00 a.m. one week from now. Everyone should be fully prepared by then."""
,,,,
Dialog.Chapter3-1-19,エレナ,「……それでは本日の臨時会議を終了します。」,「……それでは本日の臨時会議を終了します。」,"""...... then we will adjourn today's special meeting."""
,,,,
Dialog.Chapter3-1-20,,(やれやれ、この忙しい時期にこんなめんどうな仕事をすることになるとは…),(やれやれ、この忙しい時期にこんなめんどうな仕事をすることになるとは…),"(Good grief, I never thought I would have to do such a tedious job at this busy time of the year...)"
,,,,
Dialog.Chapter3-1-21,,(まあいい機会です、後顧の憂いはここで断ってしまいましょう。),(まあいい機会です、後顧の憂いはここで断ってしまいましょう。),"(Well, good opportunity, let's turn down the retrospective here.)"
,,,,
Dialog.Chapter3-1-22,,エレナが思索にふけっていると、突然誰もいない空間から声が聞こえる,エレナが思索にふけっていると、突然誰もいない空間から声が聞こえる,Erena is lost in contemplation when suddenly she hears a voice from an empty space.
,,,,
Dialog.Chapter3-1-23,???,「あーあー、もしもしー、ケイだよ。エレナそこにいるよね？」,「あーあー、もしもしー、ケイだよ。エレナそこにいるよね？」,"""Uh―oh, hello, it's Kei. Erena, you're there, right?"""
,,,,
Dialog.Chapter3-1-24,エレナ,「……………！？」,「……………！？」,"""...............!"""
,,,,
Dialog.Chapter3-1-25,猫宮京,「おーい、聞こえてるでしょ？はやくホログラムつけてよ。ハッキングして勝手に部屋覗いてもいいんだよ？」,「おーい、聞こえてるでしょ？はやくホログラムつけてよ。ハッキングして勝手に部屋覗いてもいいんだよ？」,"""Hey, I know you can hear me. Quick, turn on the hologram. I can hack in and peek in your room without your permission, okay?"""
,,,,
Dialog.Chapter3-1-26,エレナ,「……猫宮さんですか…？……あなたが連絡してくるとは珍しいですね…。」,「……猫宮さんですか…？……あなたが連絡してくるとは珍しいですね…。」,"""...... are you Ms.Nekomiya...? It's unusual for ...... you to contact me..."""
,,,,
Dialog.Chapter3-1-27,,そして立体ホログラム映像が映し出される,そして立体ホログラム映像が映し出される,Then a three-dimensional holographic image is projected.
,,,,
Dialog.Chapter3-1-28,京(制服　通信),「こほん、やぁ久しぶりエレナ。元気でやってる？」,「こほん、やぁ久しぶりエレナ。元気でやってる？」,"""Hey, Erena, how are you doing?"""
,,,,
Dialog.Chapter3-1-29,エレナ,「ええお陰様で……ところであなたはそろそろ学園に来たらどうですか…？……、今日で40日連続不登校なようですが」,「ええお陰様で……ところであなたはそろそろ司令部に顔を出したらどうですか？既に半年以上誰も貴女と接触が出来ていません。」,"""Yes thanks to you. By the way why don't you come to the school ...? You've been away from school for 40 days straight today."""
,,,,
Dialog.Chapter3-1-30,京,「あーもうそんなに。まあ公欠にしといてよ。今は聖核戦姫のエネルギーの研究とかで忙しいんだよね」,「あーもうそんなに。まあ公欠にしといてよ。今は聖核エネルギーの研究とかで忙しいんだよね」,"""Oh, no, not so much. Well, leave it as a public absence. I'm busy researching energy for the Seikaku Princess."""
,,,,
Dialog.Chapter3-1-31,エレナ,「……まあいいでしょう。あなたには設備とかいろいろと世話になったので」,「……まあいいでしょう。あなたにはいろいろとお世話になったので」,"""......Well, that's okay. You've taken care of our equipment and everything."""
,,,,
Dialog.Chapter3-1-32,エレナ,「それで、何の用があって私に電話をかけてきたのですか？」,「それで、何の用があって私に電話をかけてきたのですか？」,"""So, what brings you to call me?"""
,,,,
Dialog.Chapter3-1-33,京,「近いうちに財団に対して生徒会は大規模な攻撃をするでしょ？」,「……司令部は近いうちに財団に対して生徒会は大規模な攻撃をするでしょ？」,"""In the near future, the student council will launch a major attack against the Foundation, right?"""
,,,,
Dialog.Chapter3-1-34,エレナ,「………なぜ貴女がそれを知っているのですか…？先ほどの臨時生徒会で決まったばかりの事なのですが…」,「………なぜ貴女がそれを知っているのですか…？先ほどの臨時役員会で決まったばかりの事なのですが…」,"""......... How do you know that...? It was just decided at a special student council meeting..."""
,,,,
Dialog.Chapter3-1-35,京,「まあ財団については私の監視対象の一つだからね。最近の行動から推測するに、そろそろ生徒会が動くんじゃないかなって」,「まあ財団については私の監視対象の一つだからね。最近の行動から推測するに、そろそろ司令部が動くんじゃないかなって」,"""'Well, as for the Foundation, it's one of the things I've been keeping an eye on. Based on recent activity, I'm guessing that it's time for the student council to make a move."""
,,,,
Dialog.Chapter3-1-36,エレナ,「相変わらず察しがいいですね……。その通りです。今から一週間後、生徒会の全戦力を持って残党の地下アジトを一掃します」,「相変わらず察しがいいですね……。その通りです。今から一週間後、ホーリーコア・レギオン司令部の全戦力を持って残党の地下アジトを一掃します」,"""You are as perceptive as ever. ...... That's right. One week from now, we will wipe out the underground hideouts of the remnants with the full might of the student council."""
,,,,
Dialog.Chapter3-1-37,京,「……う～ん、なんていうかな。これは私の直感なんだけど…その作戦考え直した方がいいかも」,「……う～ん、なんていうかな。これは私の直感なんだけど…その作戦考え直した方がいいかも」,"""...... hmmm, what can I say. This is just my gut feeling... but maybe you should rethink that strategy."""
,,,,
