Key,Comment,Japanese,English
Chapter Final,注釈,,
Dialog.Chapter6-1,黒背景,最強の聖核戦姫、八雲那由多が財団の手に堕ちてから一か月後―――――,"One month after the strongest Seikaku Princess, Yakumo Nayuta, fell into the hands of the Foundation: ―――――"
,,,
Dialog.Chapter6-2,,エレナと那由多を失った聖月生徒会は統制が崩壊し、各地で聖核戦姫の掃討作戦が行われていた,"With the loss of Erena and Nayuta, the control of the Seigetsu Student Council collapsed, and cleanup operations for the Seikaku Princesses were being conducted in various locations."
,暗転　燃えるビル　,,
Dialog.Chapter6-3,,――――都市中心部,―――― city center
,,,
Dialog.Chapter6-4,,ドゴォォォンッ！,Doggone!
,,,
Dialog.Chapter6-5,モブ聖核戦姫２,「ぐうっ！―――――っ！」,"""Goooooood."" ―――――!"""
,(劇中では全て“聖核戦姫”表示),,
Dialog.Chapter6-6,クローン戦闘員×3,「――――こちら部隊5。4体の聖核戦姫と交戦中。戦闘は順調に進んでいます」,"""―――― this is Unit 5. We are engaged with 4 Seikaku Princesses. The battle is progressing well."""
,,,
Dialog.Chapter6-7,モブ聖核戦姫２,(この戦闘員っ、強すぎるっ！？これまでとは比べ物にならないっ！),"(This fighter, he's too strong! It is incomparable to the past!)"
,,,
Dialog.Chapter6-8,,(――――っ、考えたくないけど…一体一体が私達より…強い！？),"(――――, I hate to think about it... but one of them is... stronger than us!)"
,,,
Dialog.Chapter6-9,,「聖核戦姫を舐めないでっ！私達は絶対に屈し――がはッ！？」,"""Don't lick the Seikaku Princess! We will never give in――gasp!"""
,,,
Dialog.Chapter6-10,072号,「―――背後ががら空きでしたので」,"""The back of the room was empty."""
,,,
Dialog.Chapter6-11,モブ聖核戦姫２,「そ…んなっ…………」,"""That's... that's... ............"""
,,,
Dialog.Chapter6-12,072号,「……対象の変身の解除を確認。無力化に成功しました」,"""Confirmation of disabling of ...... target's transformation. Successfully neutralized."""
,,,
Dialog.Chapter6-13,明穂(闇堕ち),「さすが六花の強化クローン！普通の聖核戦姫なんか敵じゃないね！」,"""Rikka's enhanced clone is indeed a match for Rikka! The ordinary Seikaku Princess is no match for you!"""
,,,
Dialog.Chapter6-14,,「この調子でどんどん捕まえてこー！」,"""Keep up the good work and we'll get 'em!"""
,,,
Dialog.Chapter6-15,072号,「……あなたにももう少し働いてもらえると助かるのですが…」,"""...... would appreciate it if you would work a little more..."""
,,,
Dialog.Chapter6-16,明穂,「私は貴重な後方支援担当だから！…それに私よりも階級の低いクローンちゃんが私に指図するの？」,"""I'm a valuable logistics officer! ...And you, a clone with a lower rank than me, are telling me what to do?"""
,,,
Dialog.Chapter6-17,072号,「……申し訳ありません」,"""Sorry about ......."""
,,,
