Key,Comment,Japanese,Japanese　修正,English,Traditional Chinese
Tutorial,注釈,,,,
,できるだけ短く！必要な情報だけ！,,,,
Dialog.Tutorial-1-1,背景：ワールド画面,―――ここは巨大都市ネオトーカイシティ。,―――ここは巨大都市ネオトーカイシティ。,―――This is the Neotokai City.,―――這裡是巨型都市NEOTOKAI。
Dialog.Tutorial-1-2,,きらびやかなビルがそびえ立つ一方、陰で人々の陰謀や欲望の渦巻く都市である,きらびやかなビルがそびえ立つ一方、陰で人々の陰謀や欲望の渦巻く都市である,"It is a city of glittering buildings, and also a city of intrigue and greed in the shadows.",光鮮亮麗的建築的背後，暗藏著許多陰謀和人們的慾望。
Dialog.Tutorial-1-3,背景：廃墟,そんなビルの輝きを尻目に、暗い地下の廃墟を進む人影があった,そんなビルの輝きを尻目に、暗い地下の廃墟を進む人影があった,"In the midst of the brightness of the building, there was a figure advancing through the dark underground ruins.",在建築群的陰影，有一個人影在黑暗的地下廢墟中穿行
,,,,,
Dialog.Tutorial-1-4,【???】,「―――ようこそいらっしゃいました。」,「―――ようこそいらっしゃいました。」,"""―――Welcome.""",「―――歡飲光臨。」
,,,,,
Dialog.Tutorial-1-5,,目の前に突然目をバイザーのようなもので覆った女が音もなく現れる,目の前に突然目をバイザーのようなもので覆った女が音もなく現れる,A woman suddenly appears in front of you with her eyes covered by a visor― she barely make any sound.,一個女人突然無聲無息的出現在你眼前，他的眼睛被一個類似面罩的東西遮住了
,,,,,
Dialog.Tutorial-1-6,【005号】,「これから貴方の補佐と警護を担当します、秘密結社【フォーレン財団】所属、クローン戦闘員005号です。5号とお呼びください。」,「これから貴方の補佐と警護を担当します、秘密結社【フォーレン財団】所属、クローン戦闘員005号です。5号とお呼びください。」,"""I am the clone fighter 005 of the secret society ""Forren Foundation"", please call me 005.""",「我是現在開始擔任您的助理兼保安的、秘密結社【福倫財團】所屬、克隆戰斗員005號。請稱呼我為5號。」
Dialog.Tutorial-1-7,,「――貴方の事はなんとお呼びすればいいでしょうか？」,「――貴方の事はなんとお呼びすればいいでしょうか？」,"""What should I call you?""",「請問該怎麼稱呼您？」
,,,,,
Choice.Tutorial-1-7(1),【選択肢】SEL1,「…」,「…」,"""...""",「…」
Choice.Tutorial-1-7(2),【選択肢】SEL2,「好きに呼んでもらって構わない。」,「好きに呼んでもらって構わない。」,"""Whatever you want.""",「隨便你。」
,,,,,
Dialog.Tutorial-1-8,【005号】,「では“ドクター”と呼ばせていただきます。」,「では“ドクター”と呼ばせていただきます。」,"""Well, I will call you 'Doctor.'""",「那麼，請容我稱呼您為”博士”。」
