Key,Comment,Japanese,English
Hisui Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン
,,,
Hisui.Fallen1-1,ヒスイ,「………………。」,
,,,
Hisui.Fallen1-2,,「…………………………。」,
,,,
Hisui.Fallen1-3,,京の反逆の後、ヒスイはパワードスーツから抜け出し街中の小さなホテルに隠れていた。,
,,,
Hisui.Fallen1-4,ヒスイ(私服),「…………っ、ダイヤさん……私……。」,
,,,
Hisui.Fallen1-5,,「………最初から踊らされていて…いったい何のために…。」,
,,,
Hisui.Fallen1-6,,「………うっ……♥」,
,,,
Hisui.Fallen1-7,,「こんな時なのに…財団に潜入してから体の疼きが止まらない……っ♥」,
,,,
Hisui.Fallen1-8,,ヒスイの手は無意識のうちに秘所へと伸び、戦闘員の時のように快楽を求めてしまう。,
,,,
Hisui.Fallen1-9,,クチュ…クチュッ………,
,,,
Hisui.Fallen1-10,,「はあっ♥……ダイヤさんは今頃酷い事をされてるのに……♥」,
,,,
Hisui.Fallen1-11,,「私のせいで…♥、私が無能だったから…♥」,
,,,
Hisui.Fallen1-12,,「はあっ♥、はあっ♥、なんでっ…全然気持ちよく無い…イケないっ…♥」,
,,,
Hisui.Fallen1-13,,「ううっ……これも財団に開発されたせい……っ♥、許せませんっ♥」,
,,,
Hisui.Fallen1-14,,その時、ヒスイの電子デバイスからアラームが鳴る。,
,,,
Hisui.Fallen1-15,,『フォーレン財団の戦闘員が〇〇町へ出現！危険ですので市民の皆さんは避難してください！』,
,,,
Hisui.Fallen1-16,ヒスイ,「……戦闘員！？しかも〇〇町って…この辺じゃないですか……」,
,,,
Hisui.Fallen1-17,,「……放っておいたらまた罪の無い女の人達が戦闘員にされてしまいますね……、」,
,,,
Hisui.Fallen1-18,,「……でも今更私なんかが戦っても………」,
,,,
Hisui.Fallen1-19,,「っ、いえ…！私は最後の聖核戦姫です…普通の戦闘員ぐらいなんてことありません…！！」,
,,,
Hisui.Fallen1-20,,「そう…戦闘員なんて……私が全員倒します……♥」,
,,,
,,,
,,,
Hisui.Fallen1-21,男戦闘員,「オラオラァ！女共を詰め込め！」,
,,,
Hisui.Fallen1-22,,「ははっ、聖核戦姫がいなくなってからやりたい放題できて最高だな！」,
,,,
Hisui.Fallen1-23,ヒスイ(私服),「待ちなさいっ…！」,
,,,
Hisui.Fallen1-24,男戦闘員,「ああ？なんだぁ小娘？」,
,,,
Hisui.Fallen1-25,ヒスイ,(うっ…改めて見ると戦闘員ってこんなに筋肉質で大きかったんですね…),
,,,
Hisui.Fallen1-26,,(そ、それに……戦闘服の上からでもわかる……おおきな…おちん………),
,,,
Hisui.Fallen1-27,,(な、何を考えてるんですか…！戦闘員は私の敵……倒さないとっ……),
,,,
Hisui.Fallen1-28,,「ふぉ、フォーレン財団の戦闘員…乱暴は許しません…！」,
,,,
Hisui.Fallen1-29,,「変身っ…聖核戦姫：コードヒスイ――――」,
,,,
Hisui.Fallen1-30,男戦闘員,「ああ？何言ってやがる？メスガキが…お前も戦闘員になるんだよっ！！！」,
,,,
Hisui.Fallen1-31,ヒスイ,「あっ、はいっ！き、きいっ！！」,
,,,
Hisui.Fallen1-32,,男戦闘員からの命令口調に、ヒスイは反射的に戦闘員の敬礼の声を出してしまう,
,,,
Hisui.Fallen1-33,,「えっ、わ、私何を言って…早く変身しないとっ……！」,
,,,
Hisui.Fallen1-34,男戦闘員,「なんだぁ…こいつ？まあいい…オラッ！大人しくしやがれ！」,
,,,
Hisui.Fallen1-35,ヒスイ,「あっ…ちょっと待ってください――――！」ドカッ！,
,,,
Hisui.Fallen1-36,,ヒスイは戦闘員によって気絶させられ、トラックの中へと詰め込まれるのだった,
,,,
,暗転,,
,Hisui story DLC 2-1,,
Hisui.Fallen1-37,ヒスイ,(………ううっ…ここは……？),
,,,
Hisui.Fallen1-38,,(…！戦闘員化施設……！？),
,,,
Hisui.Fallen1-39,,(ま、まずいです…体が動かせない…早く変身…聖核戦姫に……),
,,,
Hisui.Fallen1-40,,【対象の意識の覚醒を確認。只今より戦闘員化プログラムを開始します。】,
,,,
Hisui.Fallen1-41,ヒスイ,(戦闘員化プログラム……！…！？),
,,,
Hisui.Fallen1-42,ヒスイ,(だ、駄目です…このままでは……また戦闘員に……♥),
,,,
Hisui.Fallen1-43,,(また……あの戦闘員としての……最悪な毎日が……♥),
,,,
Hisui.Fallen1-44,,(……いえ、よく考えたら逆にチャンスでは……もう一回侵入できたのですし),
,,,
Hisui.Fallen1-45,,(そう……今度こそ戦闘員として完璧に振舞えば…内部から財団を倒せます……っ！),
,,,
Hisui.Fallen1-46,Hisui DLC 2-2,バチバチバチッ！！,
,,,
Hisui.Fallen1-47,ヒスイ,「お゛っ♥ほお゛っ！？」,
,,,
Hisui.Fallen1-48,ヒスイ,(うっ、うそっ…♥、こんなはずっ…！？),
,,,
Hisui.Fallen1-49,,(洗脳…前にやられた時よりっ……強力になってる……？),
,,,
Hisui.Fallen1-50,,【戦闘員化プログラム中の不要な思考は禁止されます。】,
,,,
Hisui.Fallen1-51,ヒスイ,「き、きぃっ！」,
,,,
Hisui.Fallen1-52,,【対象者の身体能力のオーバースペックを確認。これより平均化作業へ移行します。】,
,,,
Hisui.Fallen1-53,,(ま、まずいです…このままだと本当に洗脳されて――――――――),
,,,
Hisui.Fallen1-54,,バチッ！バチバチバチッ！！,
,,,
Hisui.Fallen1-55,ヒスイ,「お゛お゛っ♥！？、お゛お゛っ♥！？」,
,,,
Hisui.Fallen1-56,,【身体能力の低下作業を進行中。戦闘員標準まで残り80%】,
,,,
Hisui.Fallen1-57,,(まっ、まずいですっ！これっ…抵抗して…早く変身しないと…戻れなくなって――――),
,,,
Hisui.Fallen1-58,,バチッ！バチバチバチッ！！,
,,,
Hisui.Fallen1-59,ヒスイ,「お゛お゛っ♥！？」,
,,,
Hisui.Fallen1-60,,【身体能力の低下作業を進行中。戦闘員標準まで残り70%】,
,,,
Hisui.Fallen1-61,,(まっ、待ってくださいっ…！！),
,,,
Hisui.Fallen1-62,,バチッ！バチバチバチッ！！,
,,,
Hisui.Fallen1-63,,「ひぐうっ！？」,
,,,
,暗転,,
,,,
