Key,Comment,Japanese,English
Kei Fallen Scene 1,注釈,闇堕ちシーン,闇堕ちシーン
Kei.Fallen1-1,黒背景,――――財団地下研究施設,―――― Foundation Underground Research Facility
,,,
Kei.Fallen1-2,kei darkness 1-1,「―――おーい、私はいつまでこうしていればいいんだ？」,"""――― ""――――oh, how long do I have to keep doing this?"""
,京,,
Kei.Fallen1-3,,猫宮京は聖核エネルギーを無力化され、地下深くの施設に拘束されていた,Nekomiya Kei was incapacitated from his Seikaku energy and held in a facility deep underground.
,,,
Kei.Fallen1-4,,「何時間も放置されていて流石に暇なんだが…」,"""'I'm bored with quicksand after hours of being left alone...'"""
,,,
Kei.Fallen1-5,,「他の捕らえられた聖核戦姫みたいに私も調教洗脳されるのだろう？」,"""I will be trained and brainwashed like all the other captured Seikaku warriors, won't I?'"""
,,,
Kei.Fallen1-6,,「どうせなら早くやってくれ。暇すぎる方が苦痛だ」,"""I'd rather do it fast anyway. Too much free time is more painful."""
,,,
Kei.Fallen1-7,戦闘員,「あー、うるせえっ！お前これから何されるか理解してねえのか！？」,"""Oh, shut up! Don't you realize what you're about to do to me?"""
,,,
Kei.Fallen1-8,京,「もちろん理解しているよ。私は凌辱の限りを尽くされ、調教洗脳されるのだろう？」,"""Of course I understand. I will be humiliated, trained and brainwashed, won't I?"""
,,,
Kei.Fallen1-9,戦闘員,「良く分かってるじゃねえか。だが、それだと半分だな」,"""You know exactly what you're doing. But that's only half of it."""
,,,
Kei.Fallen1-10,京,「…半分？何か見逃してることがあったかな？」,"""'...half? Am I missing something?"""
,,,
Kei.Fallen1-11,戦闘員,「……お前が俺達のアジトにサイバー攻撃をしたせいで、俺達がどんな目にあったか分かってるか？」,"""Do you have any idea what we've been through because of your cyber―attack on our hideout at ......?"""
,,,
Kei.Fallen1-12,京,「………ああ、なるほど」,"""......... Oh, I see."""
,,,
Kei.Fallen1-13,戦闘員,「お前のせいで俺達がどれだけの被害を受けたと思っている！？」,"""Do you have any idea how much damage you've done to us!"""
,,,
Kei.Fallen1-14,,「アジトの戦闘員がお前をどう思っているのか考えてみろ！」,"""Think of what the fighters in the compound think of you!"""
