Key,Comment,Japanese,Japanese_Steam,English
Nayuta Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン
Nayuta.Fallen1-1,暗転,那由多は財団に捕らえられ、地下深くの施設に厳重に拘束されていた,那由多は財団に捕らえられ、地下深くの施設に厳重に拘束されていた,Nayuta was captured by the Foundation and held tightly in a facility deep underground.
,Nayuta darkness 1-1,,,
Nayuta.Fallen1-2,那由多,(……この鎖…かなり丈夫な素材で作られていますね…),(……この鎖…かなり丈夫な素材で作られていますね…),(...... this chain... it is made of a very strong material...)
,,,,
Nayuta.Fallen1-3,,(……………とはいえこの程度なら変身さえすれば破壊できるでしょう),(……………とはいえこの程度なら変身さえすれば破壊できるでしょう),"(Even though it is ..............., this level of destruction will be possible as long as it is transformed.)"
,,,,
Nayuta.Fallen1-4,,(…聖核エネルギーを貯めて……脱出できればこのアジト程度すぐにでも壊滅させられるでしょう。),(…聖核エネルギーを貯めて……脱出できればこのアジト程度すぐにでも壊滅させられるでしょう。),"(...If we can store the Seikaku energy and escape from ......, we can destroy this hideout immediately...)"
,,,,
Nayuta.Fallen1-5,,(……脅威になりえるのはエレナぐらいですが…次は油断しません！),(……脅威になりえるのはエレナぐらいですが…次は油断しません！),(......The only one who could be a threat is Erena... but I won't let my guard down next time!)
,,,,
Nayuta.Fallen1-6,,その時、部屋にスピーカーで声が響く,その時、部屋にスピーカーで声が響く,"At that moment, a voice echoes through the speakers in the room"
,,,,
Nayuta.Fallen1-7,戦闘員,「おう、おとなしく拘束されてるな！最強の聖核戦姫が良いざまだ」,「おう、おとなしく拘束されてるな！最強の聖核戦姫が良いざまだ」,"Oh, she's being held up quietly! The most powerful Seikaku Princess is in good shape."""
,,,,
Nayuta.Fallen1-8,那由多,「…………っ！」,「…………っ！」,"""............!"""
,,,,
Nayuta.Fallen1-9,戦闘員,「これまで狩りの対象でしかなかった相手に敗北して拘束されるのはどんな気分だ？」,「これまで狩りの対象でしかなかった相手に敗北して拘束されるのはどんな気分だ？」,"How does it feel to be defeated and held captive by someone you've only ever hunted?"""
,,,,
Nayuta.Fallen1-10,那由多,「……………これも私の未熟ゆえ…何も言うことはありません」,「……………これも私の未熟ゆえ…何も言うことはありません」,"............... this is also due to my inexperience...I have nothing to say."""
,,,,
Nayuta.Fallen1-11,戦闘員,「…まあいい…さて、これからのお前の処遇だが…」,「…まあいい…さて、これからのお前の処遇だが…」,"Well, now, what's going to happen to you?"""
,,,,
Nayuta.Fallen1-12,戦闘員,「お前は俺達にとっての最大の障害だったからな。いつもは洗脳調教して戦力にするつもりだったが今回は無しだ」,「お前は俺達にとっての最大の障害だったからな。いつもは洗脳調教して戦力にするつもりだったが今回は無しだ」,"You've been our biggest obstacle. Normally, we would have brainwashed and trained you to be a force to be reckoned with, but not this time."""
,,,,
Nayuta.Fallen1-13,那由多,「………………？」,「………………？」,"""..................?"""
,,,,
Nayuta.Fallen1-14,戦闘員,「お前はそこで俺達が世界征服するのをただ指をくわえて見ていればいい」,「お前はそこで俺達が世界征服するのをただ指をくわえて見ていればいい」,"You can just sit there and watch us take over the world with your fingers crossed."""
,,,,
Nayuta.Fallen1-15,那由多,「………っ！」,「………っ！」,""".........!"""
,,,,
Nayuta.Fallen1-16,,(…いえ、焦る必要はありません。精神を集中して聖核エネルギーを貯める。やるべきことをやるだけです),(…いえ、焦る必要はありません。精神を集中して聖核エネルギーを貯める。やるべきことをやるだけです),"(...No, there is no need to rush. Concentrate your mind and store the Seikaku energy. Just do what you have to do.)"
,,,,
Nayuta.Fallen1-17,戦闘員,「ああ、そういやお前に一つやってもらいたいことがあるんだが…」,「ああ、そういやお前に一つやってもらいたいことがあるんだが…」,"'Oh, well, there's one thing I need you to do...'"
,,,,
Nayuta.Fallen1-18,那由多,「…………？」,「…………？」,"""............?"""
,暗転,,,
Nayuta.Fallen1-19,Nayuta darkness 1-2,そして、何かが部屋に入ってくる,そして、何かが部屋に入ってくる,And then something comes into the room.
,,,,
Nayuta.Fallen1-20,???,「グギャッ、グギャッ！」,「グギャッ、グギャッ！」,"Ggah, ggah!"""
,,,,
Nayuta.Fallen1-21,那由多,「……っ！…これは？」,「……っ！…これは？」,"""......! ...what's this?"""
,,,,
Nayuta.Fallen1-22,戦闘員,「こいつはある聖核戦姫に産ませた怪人だが…性欲だけ強くて何の役にも立たねえんだ」,「こいつはある聖核戦姫に産ませた怪人だが…性欲だけ強くて何の役にも立たねえんだ」,"He's a monster I birthed for a certain Seikaku Princess, but he's useless to me because he's got a strong libido."
,,,,
Nayuta.Fallen1-23,,「どうせ暇ならコイツの相手をしておいてくれ。なに、戦闘力は全く無いから安心しろ」,「どうせ暇ならコイツの相手をしておいてくれ。なに、戦闘力は全く無いから安心しろ」,"If you're not busy, you can deal with him. Don't worry, he's not a fighter at all."
,,,,
Nayuta.Fallen1-24,ゴブリン型怪人,「グギャッ、グギャッ！？」,「グギャッ、グギャッ！？」,"Ggah, ggah!"""
,,,,
Nayuta.Fallen1-25,那由多,「………そのようですね」,「………そのようですね」,"......... seems to be the case."""
,,,,
Nayuta.Fallen1-26,,(……まあこの程度の怪人なら相手にするべくもないでしょう),(……まあこの程度の怪人なら相手にするべくもないでしょう),"(...... Well, if it's a monster of this caliber, it's probably not worth the effort.)"
,,,,
Nayuta.Fallen1-27,,(…適当にオーラで威圧して上下関係を教え込みましょうか),(…適当にオーラで威圧して上下関係を教え込みましょうか),(...should we use an appropriate aura to intimidate them and teach them about hierarchy?)
,,,,
Nayuta.Fallen1-28,ゴブリン型怪人,「ギャッ！ギャッ！」,「ギャッ！ギャッ！」,"Gah! Gah!"""
,,,,
Nayuta.Fallen1-29,那由多,「―――――黙りなさい」,「―――――黙りなさい」,"""――――― shut up."""
,,,,
Nayuta.Fallen1-30,,那由多の威圧感のある声で怪人が一瞬動きを止める,那由多の威圧感のある声で怪人が一瞬動きを止める,Nayuta's intimidating voice causes the monster to stop moving for a moment.
,,,,
Nayuta.Fallen1-31,ゴブリン型怪人,「グギャッ！？」,「グギャッ！？」,"Ggah!"""
,,,,
Nayuta.Fallen1-32,那由多,「―――そこの矮小な怪人。目の前にいるのは最強の聖核戦姫、八雲那由多です」,「―――そこの矮小な怪人。目の前にいるのは最強の聖核戦姫、八雲那由多です」,"""―――― you diminutive monster there. In front of you is the strongest Seikaku Princess, Yakumo Nayuta."""
,,,,
Nayuta.Fallen1-33,,「これからこの部屋で一切の言葉を発することを禁じます。部屋の隅で静かに―――――」,「これからこの部屋で一切の言葉を発することを禁じます。部屋の隅で静かに―――――」,"From now on, no words of any kind are allowed in this room. Quietly in the corner of the room: ―――――"""
,,,,
Nayuta.Fallen1-34,Nayuta darkness 1-３,ズボッッ！！！グリュリュッッ！,ズボッッ！！！グリュリュッッ！,Zubotsuk! Gruelggghhhh!
,,,,
Nayuta.Fallen1-35,那由多,「ひっぎいっ！？おあっ？？お゛お゛おぉっ！？」,「ひっぎいっ！？おあっ？？お゛お゛おぉっ！？」,"""Hi―gi―yi! Ooooh? Oh, oh, oh, oh!"
,,,,
Nayuta.Fallen1-36,ゴブリン型怪人,「ゲギャッ！ギャギャ！」,「ゲギャッ！ギャギャ！」,"Geegawd! Ggagh!"""
,,,,
Nayuta.Fallen1-37,那由多,「――――はっ？、え、何をっ！？」,「――――はっ？、え、何をっ！？」,"""―――― what? What?"
,,,,
Nayuta.Fallen1-38,,一瞬の出来事に那由多は何が起きたのかを理解できない,一瞬の出来事に那由多は何が起きたのかを理解できない,"In a split second, Nayuta can't understand what happened."
,,,,
Nayuta.Fallen1-39,那由多,「…は？腕が……？なん…でっ？」,「…は？腕が……？なん…でっ？」,"I'm like, ""...what? My arm is ......? What...?"""
,,,,
Nayuta.Fallen1-40,ゴブリン型怪人,「ギャギャギャ♪」,「ギャギャギャ♪」,"♪ Gah, gah, gah ♪"
,,,,
Nayuta.Fallen1-41,,グチュッ、グチュッ、グチュッ！,グチュッ、グチュッ、グチュッ！,"Gut, gut, gut!"
,Nayuta darkness 1-4,,,
