Key,Comment,Japanese,Japanese
Record nursery,注釈,変身ヒロイン苗床化　高難易度コンテンツ①触手クリア後,変身ヒロイン苗床化　高難易度コンテンツ①触手クリア後
Record.Nursery,暗転,【苗床へ堕ちる聖核戦姫】,【苗床へ堕ちる聖核戦姫】
Record.Nursery-1,Record nuesery 1,記録：聖核戦姫育苗研究施設にて,記録：聖核戦姫育苗研究施設にて
,,,
Record.Nursery-2,,財団との戦いに敗北した聖核戦姫達は様々な用途に利用され、強い力を持った者はより強い怪人を産む苗床となった,財団との戦いに敗北した聖核戦姫達は様々な用途に利用され、強い力を持った者はより強い怪人を産む苗床となった
,,,
Record.Nursery-3,,ズルルッ！、ズルッ、グポッ,ズルルッ！、ズルッ、グポッ
,,,
Record.Nursery-4,聖核戦姫,「ん゛んっ！～～～～～～～～っ！！！！」,「ん゛んっ！～～～～～～～～っ！！！！」
,,,
Record.Nursery-5,,部屋には苗床となった聖核戦姫達の快楽による苦悶の声が小さく響き渡る,部屋には苗床となった聖核戦姫達の快楽による苦悶の声が小さく響き渡る
,,,
Record.Nursery-6,クローン戦闘員,「苗床S11からS23までの状態を確認、健康状態に大きな変化はありません」,「苗床S11からS23までの状態を確認、健康状態に大きな変化はありません」
,,,
Record.Nursery-7,,「本日妊娠した触手の数は平均13。そのうち今日は平均7匹を出産済みです」,「本日妊娠した触手の数は平均13。そのうち今日は平均7匹を出産済みです」
,,,
Record.Nursery-8,,「このままならここの苗床群も2週間後にはクラス3怪人の生産に移行できるでしょう」,「このままならここの苗床群も2週間後にはクラス3怪人の生産に移行できるでしょう」
,,,
Record.Nursery-9,クローン戦闘員,「報告ありがとうございます」,「報告ありがとうございます」
,,,
Record.Nursery-10,,「…………しかし」,「…………しかし」
,,,
Record.Nursery-11,クローン戦闘員,「？どうしましたか？」,「？どうしましたか？」
,,,
Record.Nursery-12,クローン戦闘員,「いえ、かつては皆名のある聖核戦姫で、私達クローン何体で戦っても勝ち目はありませんでした」,「いえ、かつては皆名のある聖核戦姫で、私達クローン何体で戦っても勝ち目はありませんでした」
,,,
Record.Nursery-13,,「……………それが今やこの有様です」,「……………それが今やこの有様です」
,,,
