Key,Comment,Japanese,English
Rikka Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン
,ホーム画面,,
,1ｰ1,,
Rikka.Fallen1-1,【六花】,「ぐうっ、こんな拘束なんてっ！」,"""Ugh, I can't believe these restraints!"""
,,,
Rikka.Fallen1-2,,狭い部屋の壁を六花の苦し気な声が反響する,Rikka's pained voice echoes off the walls of the small room.
,,,
Rikka.Fallen1-3,六花エロシーン,財団の策謀によって捕らえられた六花は、四肢を固定された状態でアジトの調教室に拘束されていた,Rikka was captured by the Foundation's scheme and held in the training room of the hideout with her limbs immobilized.
,,,
Rikka.Fallen1-4,023号,「無駄ですよ、水無瀬六花。その拘束具はあなたの最高出力の数倍耐久性があります。いくらあなたといえども脱出は不可能でしょう」,"""It's no use, Minase Rikka. That restraint is several times more durable than your maximum output. It will be impossible for you to escape, no matter how much you try."""
,,,
Rikka.Fallen1-5,023号,「申し遅れました。私はオリジナル―――あなたの研究開発を担当する“クローン023号”と申します」,"""I'm sorry I'm late. My name is Clone 023 and I am in charge of your research and development."""
,,,
Rikka.Fallen1-6,六花,「っ、またクローン…！ほんとに悪趣味なっ―――！」,"""Another clone..! You really have a bad taste...!"""
,,,
Rikka.Fallen1-7,【六花】,(――――落ち着いて私。まだ終わったわけじゃない。ここで焦ってエネルギーを消耗しても何も変わらない),"(―――― calm down, me. It's not over yet. Nothing will change if we rush here and drain our energy.)"
,,,
Rikka.Fallen1-8,,「…そう、勝手にしたら？こうなったのは私の落ち度。敵に情けを乞うつもりはない」,"""I said, ""Well, why don't you do what you want? It is my fault that this happened. I have no intention of begging for mercy from my enemies."""
,,,
Rikka.Fallen1-9,023号,「物分かりが良くて助かります。流石クローンの素体に選ばれるだけはありますね」,"""I'm glad you are so understanding. I am sure you were chosen to be the clone's base body."""
,,,
Rikka.Fallen1-10,六花,(私がアジトの中心部にいるのは敵にとってもリスクなはず…。アジトの位置が分かったし、ここには私より強い存在はいない！),(It must be a risk for the enemy to have me in the center of the hideout.... I know the location of the hideout and there is no one stronger than me here!)
,,,
Rikka.Fallen1-11,,(諦めなければまだチャンスはある。チャンスが来るまでエネルギーを温存して耐える！),"(If you don't give up, you still have a chance. Save your energy and endure until the chance comes!)"
,,,
Rikka.Fallen1-12,023号,「さて、覚悟も決まっているようですので早速あなたの体を調べさせてもらいます」,"""Now that you seem to be prepared, I will examine your body immediately."""
,,,
Rikka.Fallen1-13,1－2,壁からイボの付いたピンクのノコギリのような物が現れ回転を始める,A pink saw―like object with a wart appears from the wall and begins to spin.
,【六花1－2】,,
Rikka.Fallen1-14,,キュィィィィイイイインンッ！,Cuiiiiiiiiiiinnn!
,,,
Rikka.Fallen1-15,【六花】,「っ…！なんでこんなものっ、？」,"""I'm like, ""What the...? Why are you doing this?"""
,,,
Rikka.Fallen1-16,023号,「あなた方聖核戦姫のエネルギー源の聖核は感情と密接な関りがあることが分かっています。性感を上昇させて聖核エネルギーを測定するというわけです」,"""We know that the Seikaku, the energy source of you Seikaku Princesses, is closely related to emotions. So, you measure the Seikaku energy by elevating your sexual feelings."""
,,,
Rikka.Fallen1-17,【六花】,(―――――っ明穂の様子から覚悟はしていたけど…っ、やっぱりこういう感じにっ),(―――――. I was prepared for this from the way Akiho was acting...but...it turned out to be like this...)
,,,
Rikka.Fallen1-18,,(――――焦らないで。この程度、戦闘に比べたら大したことない。平常心でいれば何の問題もない),"(―――― Don't be in a hurry. This is nothing compared to the battle. As long as you keep a normal mind, there will be no problems.)"
,,,
Rikka.Fallen1-19,【六花】,「そう、でもこんなおもちゃで聖核戦姫の私をどうこうできるとは思えないけど？」,"""Yes, but I don't see how a toy like this can do anything to me, the Seikaku Princess?"""
,,,
Rikka.Fallen1-20,023号,「そうですか。では遠慮なくいかせてもらいます」,"""I see. Then I will go without hesitation."""
,1－3,,
Rikka.Fallen1-21,【六花1－3】,キュィィィィイイイインンッ　チリチリチリチリチリッッッ!‼,Cuiiiiiiiiiiiiinnnggg! Chili chili chili chili chili! ministry
,,,
Rikka.Fallen1-22,【六花】,「ひあっ！♥、おっ♥、いぎっっっっ♥　」,"""Hi! Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh."""
,,,
Rikka.Fallen1-23,,高速回転した柔らかいノコギリの刃が割れ目を念入りに研磨する,Soft saw blades rotated at high speed carefully grind the cracks.
,,,
Rikka.Fallen1-24,【六花】,「ひぉっ♥、あぐぅっ、くぅううううっ♥」,"""Hi―ohh♥, aghhhh, kooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!"""
,,,
Rikka.Fallen1-25,005号,「機械の具合はどうでしょうか？その様子だと気に入ってもらえたようですが。」,"""How is the machine? By the looks of it, you seem to like it."""
,,,
Rikka.Fallen1-26,【六花】,「ひあっ♥♥、そんなわけっ、♥、くぅぅっ♥」,"""Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no."""
,,,
Rikka.Fallen1-27,,快楽を逃がそうと腰を動かすが、ノコギリは六花の腰の動きをとらえ、正確に研磨を続ける。,"She moves her hips to escape the pleasure, but the saw catches the movement of Rikka's hips and continues grinding with precision."
,,,
Rikka.Fallen1-28,【六花】,「―――っ、！こいつっ♥、ひあっ♥、んおっ♥、お゛おっ♥」,"""...oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh! Koitsu ♥, hi ♥, nnnn oh ♥, ooooh ♥"""
,,,
Rikka.Fallen1-29,023号,「やれやれ、口ではあれだけ強がっておいて快楽への耐性はやはり大したことないですね」,"""I'm sorry to say, but your tolerance for pleasure is still very low for someone who is so strong with your mouth."""
,,,
Rikka.Fallen1-30,【六花】,「ぐうっ♥、なんでっこんなのでっ♥！」,"""Ugh, why, with such a thing!"""
,,,
Rikka.Fallen1-31,023号,「当然です。我々は何度もあなたのクローンを研究してきましたから。あなたの体はあなたよりも良く知っています」,"""Of course. We have studied your clones many times. We know your body better than you do."""
,,,
Rikka.Fallen1-32,【六花】,「―――そんなっ！、はっ、はあっ♥、ーーーぅっ♥、――――――。」,"""――――ONNAH! """
,,,
Rikka.Fallen1-33,,六花は精神を集中させ下腹部の快楽を遠ざける,Rikka focuses her mind and keeps the pleasures of her lower abdomen away.
,1－4,,
Rikka.Fallen1-34,【六花】,「―――はぁ、はぁっ、これで終わり？――っこの程度なら、何時間されても私の心を折ることはできないと思うけどっ？」,"""―――Ha―ha―ha, is that it? ――I don't think you could break my heart even if you did this for hours, do you?"""
,,,
Rikka.Fallen1-35,023号,「これは貴女の性感を高めるためのただの前戯です。本番はこれからですよ」,"""This is just foreplay to enhance your sexuality. The real work is just beginning."""
,,,
Rikka.Fallen1-36,六花,「―――ッ？！」,"""Wha...?"""
,,,
Rikka.Fallen1-37,1－5,壁から無数の突起の付いた巨大なディルドとアナルパールが現れ、六花の二穴に狙いを定める。,A huge dildo and anal pearls with numerous prongs appear from the wall and aim at Rikka's two holes.
,,,
Rikka.Fallen1-38,六花,「何これっ、？！何のためにこんなのをっ！？」,"""What is this? What the hell did you do this to me!"""
,,,
Rikka.Fallen1-39,023号,「あなたを体内から絶頂させ研究するための特性の装置です。効果は我々クローンで既に実証済みです」,"""It's a device with the properties to make you climax from the inside and study you. The effect has already been proven by our clones."""
,,,
Rikka.Fallen1-40,六花,「――――ッ、ふざけないでっ！、私はクローンなんかとは違う、こんなの意味ないっ！」,"""I'm not a clone, this doesn't make any sense! I'm not a clone, this doesn't make any sense!"""
,,,
Rikka.Fallen1-41,023号,「そうですね、私達としてもオリジナルが我々クローンと違いどの様な反応を示すか興味があります」,"""Yes, we are interested to see how the originals react to our clones."""
,,,
Rikka.Fallen1-42,六花,「！聖核戦姫を舐めないでっ！私はクローンとは違うっ！」,"""! Don't lick the Seikaku Princess! I am not a clone!"""
,,,
Rikka.Fallen1-43,023号,「そうですか。では早速実験を行います、オリジナルがどれだけ耐えられるか楽しみですね」,"""I see. Well then, we'll do a quick experiment, and I look forward to seeing how well the original holds up."""
,,,
Rikka.Fallen1-44,六花,「っ、こんなおもちゃ、私には全然っ――――――」,"""I'm not at all interested in these toys. ――――――"""
,,,
Rikka.Fallen1-45,1－6,ズブウゥゥゥウッッッ！！！,Zvuuuuuuhhh!!!
,,,
Rikka.Fallen1-46,六花,「ひぎっいっっ！！！♥♥、お゛お゛っ！！♥、」,"""HIGGITY!!!! ♥♥, oh―oh―oh―oh―oh―oh―oh―oh―oh―oh―oh―oh! ♥♥♥♥!"""
,,,
Rikka.Fallen1-47,,念入りに撫でられて敏感になった六花の二穴にディルドが一気に挿入される,A dildo is inserted into Rikka's two sensitive holes all at once after being carefully stroked.
,1－8,,
Rikka.Fallen1-48,六花,「お゛お゛っ♥、お゛っ♥、おお゛っ！？」,"""Ooooh ♥, ooooh ♥, ooooh ♥!"""
,,,
Rikka.Fallen1-49,,体内に強烈な性感と同時に、激しい圧迫感と異物感が襲い掛かる,"Intense sexual sensation in the body and at the same time, intense pressure and foreign body sensation attack the body."
,,,
Rikka.Fallen1-50,023号,「おやおや、挿入しただけでイッたのですか？これではクローンの中でも最短ですよ？」,"""'Oh dear, did you come just by inserting it? That makes you the shortest of all the clones, doesn't it?"""
,1－7,,
Rikka.Fallen1-51,六花,「そんなわけがっ！、イ゛っ、イッてないッ♥！私はこんなのでっ！」,"""No, of course not! I didn't come! I didn't come like this!"""
,,,
Rikka.Fallen1-52,023号,「そうですか。これでイッていたら流石に弱すぎますからね。では本格的にデータを取る段階に移行します」,"""I see. If she comes in this way, she is too weak. Then we'll move on to the stage of taking data in earnest."""
,,,
Rikka.Fallen1-53,六花,「な…なにをっ！？、待ってっ、やめ――――――――」,"""What are you doing? Wait, stop ――――――――"""
,,,
Rikka.Fallen1-54,,ズチュッ♥ドチュッ♥キュイイイイイン♥ズボッ♥ズボッ♥,Dooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
,,,
,1－6,,
,,,
Rikka.Fallen1-55,六花,「ひぎゅううううううっっ♥♥♥、だめっ♥♥、ナカでグリグリッ♥♥、お゛おっ♥、むりぃっ♥、イクッ♥」,"""I'm gonna fuck you so hard, I'm gonna fuck you so hard, I'm gonna fuck you so hard, I'm gonna fuck you so hard, I'm gonna fuck you so hard, I'm gonna fuck you so hard, I'm gonna fuck you so hard, I'm gonna fuck you so hard, I'm gonna fuck you so hard, I'm gonna fuck you so hard."""
,,,
Rikka.Fallen1-56,023号,「やはりだめなようですね。オリジナルは私達クローンより快楽耐性は低いようです」,"""It seems that the originals have a lower tolerance for pleasure than we clones. The originals seem to have a lower tolerance for pleasure than we clones."""
,1－7,,
Rikka.Fallen1-57,六花,「――っっ♥、イっ、イってないっ♥！、わたしはっ♥こんなのでぇっ♥♥、ぜったいにっ♥、お゛っお゛お♥、イクっ♥、イグゥッッッ♥」,"""I'm not cumming! I'm not coming, I'm not coming, I'm not coming, I'm not coming, I'm not coming, I'm not coming, I'm not coming, I'm not coming, I'm not coming, I'm not coming, I'm not coming, I'm not coming, I'm not coming, I'm not coming..."""
,,,
Rikka.Fallen1-58,,プシッ♥、プシュウウウウウウッッ！♥♥,"Pshhhhhh ♥♥, pshhhhhhhh! ♥♥♥"
,,,
Rikka.Fallen1-59,,絶頂した六花の股から大量の潮が吹きだす,Rikka climaxes and a large amount of water squirts out from her crotch.
,1－8,,
Rikka.Fallen1-60,六花,「はあっ♥、はあっ♥、～～～～う゛ぅっ♥、いぎっ、お゛ぉっ♥、とまらなっ♥、イグっ♥、お゛お゛お゛お゛っ♥♥」,"""Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh."""
,,,
Rikka.Fallen1-61,,ズチュッ♥ドチュッ♥キュイイイイイン♥ズボッ♥ズボッ♥,Dooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
,,,
Rikka.Fallen1-62,,何回イっても機械は止まることなく、無機質に六花の体内を出入りし続ける,"No matter how many times he comes, the machine never stops and continues to inorganically move in and out of Rikka's body."
,,,
Rikka.Fallen1-63,023号,「それでは、次は気絶するまで計測を行いますので頑張って耐えてください。今の所クローンの誰よりも弱いですからね」,"""Then we'll measure you until you pass out next time, so hang in there. So far, you are weaker than any of the clones."""
